geo,country,year,value
EU27_2020,European Union (27 countries),2021,7.65
EU27_2020,European Union (27 countries),2023,8.06
EU27_2020,European Union (27 countries),2024,13.48
EU27_2020,European Union (27 countries),2025,19.95
DE,Germany,2021,10.56
DE,Germany,2023,11.55
DE,Germany,2024,19.75
DE,Germany,2025,25.97
DK,Denmark,2021,23.89
DK,Denmark,2023,15.17
DK,Denmark,2024,27.58
DK,Denmark,2025,42.03
ES,Spain,2021,7.67
ES,Spain,2023,9.18
ES,Spain,2024,11.31
ES,Spain,2025,20.27
FI,Finland,2021,15.79
FI,Finland,2023,15.1
FI,Finland,2024,24.37
FI,Finland,2025,37.82
FR,France,2021,6.67
FR,France,2023,5.88
FR,France,2024,9.91
FR,France,2025,18.16
NL,Netherlands,2021,13.1
NL,Netherlands,2023,14.1
NL,Netherlands,2024,23.06
NL,Netherlands,2025,33.21
PL,Poland,2021,2.86
PL,Poland,2023,3.67
PL,Poland,2024,5.9
PL,Poland,2025,8.36
SE,Sweden,2021,9.92
SE,Sweden,2023,10.37
SE,Sweden,2024,25.09
SE,Sweden,2025,35.04
