entity,code,year,pm25
Brazil,BRA,1990,27.068405
Brazil,BRA,1991,27.04364
Brazil,BRA,1992,26.962513
Brazil,BRA,1993,26.881384
Brazil,BRA,1994,26.800257
Brazil,BRA,1995,26.831854
Brazil,BRA,1996,26.638
Brazil,BRA,1997,26.556873
Brazil,BRA,1998,26.475744
Brazil,BRA,1999,26.394617
Brazil,BRA,2000,26.257126
Brazil,BRA,2001,26.403042
Brazil,BRA,2002,25.943916
Brazil,BRA,2003,27.349861
Brazil,BRA,2004,26.117645
Brazil,BRA,2005,25.910887
Brazil,BRA,2006,18.870647
Brazil,BRA,2007,15.380898
Brazil,BRA,2008,15.46391
Brazil,BRA,2009,15.280685
Brazil,BRA,2010,15.159587
Brazil,BRA,2011,15.014938
Brazil,BRA,2012,13.637354
Brazil,BRA,2013,13.192112
Brazil,BRA,2014,13.157934
Brazil,BRA,2015,14.105765
Brazil,BRA,2016,13.489582
Brazil,BRA,2017,13.60496
Brazil,BRA,2018,13.331691
Brazil,BRA,2019,13.813143
Brazil,BRA,2020,13.66583
Brazil,BRA,2021,13.686964
Brazil,BRA,2022,14.946074
Brazil,BRA,2023,13.382717
China,CHN,1990,43.06105
China,CHN,1991,42.843685
China,CHN,1992,43.068016
China,CHN,1993,43.292347
China,CHN,1994,43.516674
China,CHN,1995,42.85761
China,CHN,1996,43.965336
China,CHN,1997,44.189667
China,CHN,1998,44.413998
China,CHN,1999,44.63833
China,CHN,2000,45.304356
China,CHN,2001,45.69875
China,CHN,2002,46.12891
China,CHN,2003,45.739746
China,CHN,2004,45.255028
China,CHN,2005,46.132854
China,CHN,2006,49.947025
China,CHN,2007,51.673473
China,CHN,2008,51.088238
China,CHN,2009,49.94222
China,CHN,2010,48.9504
China,CHN,2011,52.72723
China,CHN,2012,48.65782
China,CHN,2013,51.749783
China,CHN,2014,52.50966
China,CHN,2015,49.47322
China,CHN,2016,45.28061
China,CHN,2017,43.091103
China,CHN,2018,38.505753
China,CHN,2019,37.202446
China,CHN,2020,33.690704
China,CHN,2021,31.918522
China,CHN,2022,31.895775
China,CHN,2023,31.991575
Germany,DEU,1990,22.364592
Germany,DEU,1991,22.228613
Germany,DEU,1992,21.860514
Germany,DEU,1993,21.492413
Germany,DEU,1994,21.124311
Germany,DEU,1995,21.220457
Germany,DEU,1996,20.388111
Germany,DEU,1997,20.02001
Germany,DEU,1998,19.65191
Germany,DEU,1999,19.28381
Germany,DEU,2000,18.683586
Germany,DEU,2001,17.55734
Germany,DEU,2002,18.2295
Germany,DEU,2003,18.908278
Germany,DEU,2004,16.716946
Germany,DEU,2005,17.032753
Germany,DEU,2006,15.760103
Germany,DEU,2007,14.89386
Germany,DEU,2008,14.516991
Germany,DEU,2009,15.371248
Germany,DEU,2010,15.839674
Germany,DEU,2011,15.458584
Germany,DEU,2012,12.954531
Germany,DEU,2013,13.5556755
Germany,DEU,2014,13.427258
Germany,DEU,2015,12.134117
Germany,DEU,2016,11.795217
Germany,DEU,2017,11.900375
Germany,DEU,2018,12.272498
Germany,DEU,2019,9.957727
Germany,DEU,2020,9.060865
Germany,DEU,2021,9.904121
Germany,DEU,2022,9.648777
Germany,DEU,2023,8.81223
India,IND,1990,51.203266
India,IND,1991,50.166195
India,IND,1992,50.12217
India,IND,1993,50.078144
India,IND,1994,50.034122
India,IND,1995,48.004
India,IND,1996,49.94607
India,IND,1997,49.90205
India,IND,1998,49.858025
India,IND,1999,49.814
India,IND,2000,50.763027
India,IND,2001,50.453785
India,IND,2002,51.254456
India,IND,2003,52.514984
India,IND,2004,50.844616
India,IND,2005,51.33693
India,IND,2006,49.254604
India,IND,2007,49.451336
India,IND,2008,51.266483
India,IND,2009,52.262672
India,IND,2010,51.71882
India,IND,2011,55.02583
India,IND,2012,53.01963
India,IND,2013,52.26938
India,IND,2014,51.68722
India,IND,2015,51.435593
India,IND,2016,54.421875
India,IND,2017,55.172424
India,IND,2018,56.679523
India,IND,2019,53.59815
India,IND,2020,52.193367
India,IND,2021,55.623474
India,IND,2022,50.657745
India,IND,2023,54.052223
Nigeria,NGA,1990,64.73411
Nigeria,NGA,1991,63.694687
Nigeria,NGA,1992,64.06358
Nigeria,NGA,1993,64.43248
Nigeria,NGA,1994,64.80138
Nigeria,NGA,1995,62.353634
Nigeria,NGA,1996,65.53916
Nigeria,NGA,1997,65.90806
Nigeria,NGA,1998,66.276955
Nigeria,NGA,1999,66.64585
Nigeria,NGA,2000,68.42306
Nigeria,NGA,2001,58.12139
Nigeria,NGA,2002,61.705284
Nigeria,NGA,2003,51.474728
Nigeria,NGA,2004,61.79357
Nigeria,NGA,2005,57.181446
Nigeria,NGA,2006,63.273216
Nigeria,NGA,2007,67.306145
Nigeria,NGA,2008,66.80272
Nigeria,NGA,2009,59.963737
Nigeria,NGA,2010,57.04536
Nigeria,NGA,2011,60.598186
Nigeria,NGA,2012,59.62272
Nigeria,NGA,2013,52.23907
Nigeria,NGA,2014,54.130585
Nigeria,NGA,2015,75.12907
Nigeria,NGA,2016,69.37225
Nigeria,NGA,2017,68.22463
Nigeria,NGA,2018,60.068275
Nigeria,NGA,2019,56.174236
Nigeria,NGA,2020,63.702526
Nigeria,NGA,2021,63.75055
Nigeria,NGA,2022,70.61691
Nigeria,NGA,2023,65.740616
United States,USA,1990,15.907267
United States,USA,1991,15.947499
United States,USA,1992,15.805496
United States,USA,1993,15.663494
United States,USA,1994,15.521491
United States,USA,1995,15.743958
United States,USA,1996,15.237485
United States,USA,1997,15.095483
United States,USA,1998,14.95348
United States,USA,1999,14.811477
United States,USA,2000,14.487239
United States,USA,2001,13.749565
United States,USA,2002,13.634112
United States,USA,2003,13.320015
United States,USA,2004,12.575447
United States,USA,2005,13.339296
United States,USA,2006,11.7478695
United States,USA,2007,10.878144
United States,USA,2008,10.339967
United States,USA,2009,9.368788
United States,USA,2010,9.300517
United States,USA,2011,9.434625
United States,USA,2012,8.713152
United States,USA,2013,8.426651
United States,USA,2014,8.408081
United States,USA,2015,8.05235
United States,USA,2016,7.3841915
United States,USA,2017,7.6934433
United States,USA,2018,7.7575064
United States,USA,2019,7.269163
United States,USA,2020,7.7351265
United States,USA,2021,8.23139
United States,USA,2022,7.428238
United States,USA,2023,6.9680448
World,OWID_WRL,1990,36.67
World,OWID_WRL,1991,36.279804
World,OWID_WRL,1992,36.29143
World,OWID_WRL,1993,36.30434
World,OWID_WRL,1994,36.317307
World,OWID_WRL,1995,35.508453
World,OWID_WRL,1996,36.348804
World,OWID_WRL,1997,36.366554
World,OWID_WRL,1998,36.385246
World,OWID_WRL,1999,36.40514
World,OWID_WRL,2000,36.849155
World,OWID_WRL,2001,36.21648
World,OWID_WRL,2002,36.813454
World,OWID_WRL,2003,36.70675
World,OWID_WRL,2004,36.39298
World,OWID_WRL,2005,36.384983
World,OWID_WRL,2006,35.946835
World,OWID_WRL,2007,35.99501
World,OWID_WRL,2008,36.27635
World,OWID_WRL,2009,36.09217
World,OWID_WRL,2010,36.03034
World,OWID_WRL,2011,37.363174
World,OWID_WRL,2012,35.998547
World,OWID_WRL,2013,36.00464
World,OWID_WRL,2014,35.895126
World,OWID_WRL,2015,36.535892
World,OWID_WRL,2016,35.477192
World,OWID_WRL,2017,35.014496
World,OWID_WRL,2018,34.74262
World,OWID_WRL,2019,33.38451
World,OWID_WRL,2020,32.501842
World,OWID_WRL,2021,33.198826
World,OWID_WRL,2022,32.732143
World,OWID_WRL,2023,32.872383
