series,entity,year,central,lower,upper
world,World,1970,100,100,100
world,World,1971,99.406844,97.358286,101.59934
world,World,1972,98.14285000000001,94.61055,101.83256999999999
world,World,1973,96.61677,92.20869499999999,101.14101
world,World,1974,94.809854,89.58937999999999,100.25398999999999
world,World,1975,92.65501499999999,86.78831500000001,98.937094
world,World,1976,89.991647,83.68637,96.91421
world,World,1977,86.367744,79.97391,93.39025600000001
world,World,1978,82.86782000000001,76.46518,89.899683
world,World,1979,80.259967,73.666024,87.47364
world,World,1980,78.43339,71.546197,85.9839
world,World,1981,77.014565,69.877255,84.86694700000001
world,World,1982,74.73171400000001,67.60401999999999,82.62671999999999
world,World,1983,72.17754,65.15689,80.02931
world,World,1984,69.707686,62.779019999999996,77.48042000000001
world,World,1985,67.67479,60.769224,75.47232000000001
world,World,1986,66.16929999999999,59.270376,73.98204
world,World,1987,64.42259,57.558960000000006,72.228897
world,World,1988,62.675349999999995,55.854079999999996,70.365506
world,World,1989,61.357963000000005,54.568404,68.98210999999999
world,World,1990,60.09213,53.296600000000005,67.74154300000001
world,World,1991,58.816165,52.005849999999995,66.497713
world,World,1992,57.28322,50.5043,64.97869
world,World,1993,55.24195400000001,48.570102,62.799525
world,World,1994,53.247344,46.72641,60.675395
world,World,1995,51.149136,44.77669,58.432174
world,World,1996,50.24958,43.90801,57.51728000000001
world,World,1997,48.922349999999994,42.653722,56.10058
world,World,1998,47.500777,41.331362999999996,54.567589999999996
world,World,1999,45.67586,39.681675999999996,52.53559
world,World,2000,44.373488,38.475,51.088710000000006
world,World,2001,43.125597,37.24875,49.715665
world,World,2002,42.013386000000004,36.136833,48.545527
world,World,2003,40.928477,35.077903,47.428122
world,World,2004,39.984033000000004,34.19829,46.452475
world,World,2005,38.86755,33.149043,45.305679999999995
world,World,2006,37.449524000000004,31.81733,43.797645
world,World,2007,35.952893,30.440766000000004,42.204708000000004
world,World,2008,34.355253000000005,29.00488,40.417475
world,World,2009,32.711408,27.551940000000002,38.58463
world,World,2010,31.09998,26.105030000000003,36.781594
world,World,2011,29.602800000000002,24.766229,35.115495
world,World,2012,28.667074,23.899113,34.080818
world,World,2013,28.413123000000002,23.625319,33.846164
world,World,2014,28.503707,23.654816,34.032404
world,World,2015,28.567332,23.687129000000002,34.192625
world,World,2016,27.78848,22.978655,33.389944
world,World,2017,27.369870000000002,22.494209,33.070899999999995
world,World,2018,27.097133,22.094296999999997,32.97694
world,World,2019,27.327447999999997,22.170989,33.41134
world,World,2020,27.134067,21.972492,33.27644
region,Africa,1970,100,,
region,Africa,1980,61.535764,,
region,Africa,1990,43.616715,,
region,Africa,2000,40.746465,,
region,Africa,2010,31.544983,,
region,Africa,2020,23.96703,,
region,Asia and Pacific,1970,100,,
region,Asia and Pacific,1980,101.17103999999999,,
region,Asia and Pacific,1990,90.70645,,
region,Asia and Pacific,2000,60.836875,,
region,Asia and Pacific,2010,42.038888,,
region,Asia and Pacific,2020,39.603937,,
region,Europe and Central Asia,1970,100,,
region,Europe and Central Asia,1980,111.79069,,
region,Europe and Central Asia,1990,128.22378,,
region,Europe and Central Asia,2000,97.26542,,
region,Europe and Central Asia,2010,85.353625,,
region,Europe and Central Asia,2020,64.715004,,
region,Latin America and the Caribbean,1970,100,,
region,Latin America and the Caribbean,1980,63.43763,,
region,Latin America and the Caribbean,1990,35.569572,,
region,Latin America and the Caribbean,2000,19.016159,,
region,Latin America and the Caribbean,2010,9.4993964,,
region,Latin America and the Caribbean,2020,5.377315,,
region,North America,1970,100,,
region,North America,1980,91.358733,,
region,North America,1990,85.06336,,
region,North America,2000,72.710913,,
region,North America,2010,72.07213,,
region,North America,2020,60.95505,,
