year,ceo_realized_thousands,ceo_granted_thousands,workers_all_thousands,workers_industry_thousands,ceo_value_status
1965,1078,820,49,,selected
1968,1338,1019,52,,selected
1973,1406,1070,57,,selected
1978,1925,1466,59,,selected
1989,3594,2736,56,,selected
1992,6370,4849,56,63,annual
1993,6690,6039,56,64,annual
1994,5447,7295,56,64,annual
1995,6971,7744,56,63,annual
1996,9106,10745,56,63,annual
1997,13842,14295,57,63,annual
1998,20443,19439,58,67,annual
1999,18316,19081,59,68,annual
2000,25392,25388,59,69,annual
2001,14136,21367,60,71,annual
2002,12276,15960,62,72,annual
2003,15813,15624,62,73,annual
2004,17839,16016,62,73,annual
2005,21662,16747,62,73,annual
2006,22164,16466,62,74,annual
2007,22876,17238,63,74,annual
2008,14953,15548,63,75,annual
2009,11962,13133,66,76,annual
2010,15115,14905,66,77,annual
2011,16555,15194,65,76,annual
2012,24672,14486,65,75,annual
2013,21488,15238,66,76,annual
2014,22471,15646,66,76,annual
2015,23057,15746,67,77,annual
2016,20197,16288,68,78,annual
2017,22494,17791,69,80,annual
2018,22170,17558,69,81,annual
2019,24860,17996,71,81,annual
2020,29348,16810,73,83,annual
2021,32552,21902,73,83,annual
2022,28306,17552,72,81,annual
2023,21707,15554,73,82,annual
2024,22983,16967,74,84,projected
