year,realized_ratio,granted_ratio
1965,20.62721,15.3021
1966,21.8548,16.212776666666667
1967,23.08239,17.123453333333334
1968,24.30998,18.03413
1969,24.038798,17.832956
1970,23.767616,17.631782
1971,23.496434,17.430608
1972,23.225252,17.229434
1973,22.95407,17.02826
1974,24.51267,18.184492
1975,26.07127,19.340724
1976,27.62987,20.496956
1977,29.18847,21.653188
1978,30.74707,22.80942
1979,33.41729,24.790297272727273
1980,36.08751,26.771174545454542
1981,38.75773,28.752051818181815
1982,41.42795,30.73292909090909
1983,44.09817,32.713806363636365
1984,46.76839,34.694683636363635
1985,49.43861,36.675560909090905
1986,52.10883,38.65643818181818
1987,54.77905,40.63731545454546
1988,57.44927,42.61819272727273
1989,60.11949,44.59907
1990,75.64807333333333,56.118806666666664
1991,91.17665666666667,67.63854333333333
1992,106.70524,79.15828
1993,108.26028,99.22023
1994,87.60593,117.88148
1995,117.08442,130.1075
1996,150.0365,176.36082
1997,223.09686,234.83451
1998,304.23004,301.47923
1999,275.24173,288.44212
2000,379.59324,393.04409
2001,214.2428,325.69025
2002,186.1565,234.92157
2003,228.47113,226.39667
2004,261.8344,231.91831
2005,319.5169,244.33265
2006,322.40783,237.31351
2007,328.0999,241.82677
2008,199.8795,218.02521
2009,166.25376,181.13743
2010,210.12776,204.13441
2011,238.88109,212.36528
2012,362.01254,204.51209
2013,317.17048,209.98795
2014,318.20702,219.89268
2015,319.77819,215.17883
2016,269.31025,219.46546
2017,294.43062,233.55774
2018,283.49479,228.75462
2019,311.68533,229.29539
2020,355.86332,212.53653
2021,407.76905,272.81257
2022,360.16129,225.52377
2023,265.90541,196.78081
2024,290.19072,212.51756
2025,324.67652,246.9463
