series,entity,code,year,value
long-run,World,OWID_WRL,1800,42.8
long-run,World,OWID_WRL,1805,42.6
long-run,World,OWID_WRL,1810,42.5
long-run,World,OWID_WRL,1815,42.2
long-run,World,OWID_WRL,1820,42.1
long-run,World,OWID_WRL,1825,42.1
long-run,World,OWID_WRL,1830,42.2
long-run,World,OWID_WRL,1835,42.2
long-run,World,OWID_WRL,1840,42.1
long-run,World,OWID_WRL,1845,42
long-run,World,OWID_WRL,1850,42
long-run,World,OWID_WRL,1855,44
long-run,World,OWID_WRL,1860,42.9
long-run,World,OWID_WRL,1865,42.3
long-run,World,OWID_WRL,1870,41.9
long-run,World,OWID_WRL,1875,41.5
long-run,World,OWID_WRL,1880,41.6
long-run,World,OWID_WRL,1885,41.2
long-run,World,OWID_WRL,1890,41.5
long-run,World,OWID_WRL,1895,41.3
long-run,World,OWID_WRL,1900,40.9
long-run,World,OWID_WRL,1905,38.8
long-run,World,OWID_WRL,1910,36.4
long-run,World,OWID_WRL,1915,35.3
long-run,World,OWID_WRL,1920,34.4
long-run,World,OWID_WRL,1925,32.4
long-run,World,OWID_WRL,1930,31.6
long-run,World,OWID_WRL,1935,29.5
long-run,World,OWID_WRL,1940,27.9
long-run,World,OWID_WRL,1945,26.7
long-run,World,OWID_WRL,1950,24.7
long-run,World,OWID_WRL,1955,22.3
long-run,World,OWID_WRL,1960,20.2
long-run,World,OWID_WRL,1965,15.1
long-run,World,OWID_WRL,1970,14.2
long-run,World,OWID_WRL,1975,13.1
long-run,World,OWID_WRL,1980,11.9
long-run,World,OWID_WRL,1985,10.63
long-run,World,OWID_WRL,1990,9.35
long-run,World,OWID_WRL,1995,8.75
long-run,World,OWID_WRL,2000,7.67
long-run,World,OWID_WRL,2005,6.23
long-run,World,OWID_WRL,2010,5.06
long-run,World,OWID_WRL,2015,4.29
long-run,World,OWID_WRL,2020,3.92
long-run,World,OWID_WRL,2024,3.74
panel,Sweden,SWE,1965,1.6278437
panel,Sweden,SWE,1985,0.7604244
panel,Sweden,SWE,2005,0.35944498
panel,Sweden,SWE,2024,0.24061178
panel,Brazil,BRA,1965,14.852377
panel,Brazil,BRA,1985,7.653236
panel,Brazil,BRA,2005,2.462574
panel,Brazil,BRA,2024,1.4216973
panel,India,IND,1965,22.696152
panel,India,IND,1985,14.684681
panel,India,IND,2005,7.4346895
panel,India,IND,2024,2.65799
panel,Nigeria,NGA,1965,31.880276
panel,Nigeria,NGA,1985,20.690552
panel,Nigeria,NGA,2005,14.584013
panel,Nigeria,NGA,2024,11.564943
panel,United States,USA,1965,2.7082593
panel,United States,USA,1985,1.2703943
panel,United States,USA,2005,0.79628336
panel,United States,USA,2024,0.6472463
