series,year,value
annual,1880,-.17
annual,1881,-.09
annual,1882,-.11
annual,1883,-.17
annual,1884,-.28
annual,1885,-.33
annual,1886,-.32
annual,1887,-.36
annual,1888,-.18
annual,1889,-.11
annual,1890,-.36
annual,1891,-.22
annual,1892,-.27
annual,1893,-.31
annual,1894,-.30
annual,1895,-.23
annual,1896,-.12
annual,1897,-.11
annual,1898,-.28
annual,1899,-.18
annual,1900,-.09
annual,1901,-.15
annual,1902,-.28
annual,1903,-.37
annual,1904,-.48
annual,1905,-.27
annual,1906,-.23
annual,1907,-.39
annual,1908,-.43
annual,1909,-.49
annual,1910,-.44
annual,1911,-.45
annual,1912,-.37
annual,1913,-.35
annual,1914,-.16
annual,1915,-.15
annual,1916,-.36
annual,1917,-.46
annual,1918,-.30
annual,1919,-.28
annual,1920,-.28
annual,1921,-.19
annual,1922,-.28
annual,1923,-.26
annual,1924,-.27
annual,1925,-.22
annual,1926,-.11
annual,1927,-.22
annual,1928,-.20
annual,1929,-.36
annual,1930,-.16
annual,1931,-.09
annual,1932,-.16
annual,1933,-.29
annual,1934,-.13
annual,1935,-.20
annual,1936,-.15
annual,1937,-.03
annual,1938,.00
annual,1939,-.02
annual,1940,.12
annual,1941,.18
annual,1942,.06
annual,1943,.09
annual,1944,.20
annual,1945,.09
annual,1946,-.07
annual,1947,-.03
annual,1948,-.11
annual,1949,-.11
annual,1950,-.17
annual,1951,-.07
annual,1952,.01
annual,1953,.08
annual,1954,-.13
annual,1955,-.14
annual,1956,-.19
annual,1957,.05
annual,1958,.06
annual,1959,.03
annual,1960,-.02
annual,1961,.06
annual,1962,.03
annual,1963,.05
annual,1964,-.20
annual,1965,-.11
annual,1966,-.06
annual,1967,-.02
annual,1968,-.08
annual,1969,.05
annual,1970,.03
annual,1971,-.08
annual,1972,.01
annual,1973,.16
annual,1974,-.07
annual,1975,-.01
annual,1976,-.10
annual,1977,.18
annual,1978,.07
annual,1979,.16
annual,1980,.26
annual,1981,.32
annual,1982,.14
annual,1983,.31
annual,1984,.15
annual,1985,.12
annual,1986,.18
annual,1987,.32
annual,1988,.39
annual,1989,.27
annual,1990,.45
annual,1991,.40
annual,1992,.22
annual,1993,.23
annual,1994,.31
annual,1995,.44
annual,1996,.33
annual,1997,.46
annual,1998,.61
annual,1999,.38
annual,2000,.39
annual,2001,.53
annual,2002,.63
annual,2003,.62
annual,2004,.53
annual,2005,.68
annual,2006,.64
annual,2007,.66
annual,2008,.54
annual,2009,.66
annual,2010,.73
annual,2011,.61
annual,2012,.65
annual,2013,.68
annual,2014,.75
annual,2015,.90
annual,2016,1.01
annual,2017,.92
annual,2018,.85
annual,2019,.98
annual,2020,1.01
annual,2021,.85
annual,2022,.89
annual,2023,1.17
annual,2024,1.28
annual,2025,1.19
