measure,entity,code,year,value
panel-per-capita,Brazil,BRA,1950,0.368
panel-per-capita,Brazil,BRA,1970,0.980
panel-per-capita,Brazil,BRA,1990,1.466
panel-per-capita,Brazil,BRA,2010,2.273
panel-per-capita,Brazil,BRA,2020,2.147
panel-per-capita,Brazil,BRA,2024,2.278
panel-per-capita,China,CHN,1950,0.145
panel-per-capita,China,CHN,1970,0.981
panel-per-capita,China,CHN,1990,2.153
panel-per-capita,China,CHN,2010,6.370
panel-per-capita,China,CHN,2020,7.641
panel-per-capita,China,CHN,2024,8.658
panel-per-capita,Germany,DEU,1950,7.309
panel-per-capita,Germany,DEU,1970,13.117
panel-per-capita,Germany,DEU,1990,13.233
panel-per-capita,Germany,DEU,2010,10.228
panel-per-capita,Germany,DEU,2020,7.739
panel-per-capita,Germany,DEU,2024,6.769
panel-per-capita,India,IND,1950,0.176
panel-per-capita,India,IND,1970,0.333
panel-per-capita,India,IND,1990,0.668
panel-per-capita,India,IND,2010,1.350
panel-per-capita,India,IND,2020,1.727
panel-per-capita,India,IND,2024,2.201
panel-per-capita,Japan,JPN,1950,1.186
panel-per-capita,Japan,JPN,1970,7.213
panel-per-capita,Japan,JPN,1990,9.359
panel-per-capita,Japan,JPN,2010,9.448
panel-per-capita,Japan,JPN,2020,8.213
panel-per-capita,Japan,JPN,2024,7.772
panel-per-capita,Nigeria,NGA,1950,0.061
panel-per-capita,Nigeria,NGA,1970,0.385
panel-per-capita,Nigeria,NGA,1990,0.399
panel-per-capita,Nigeria,NGA,2010,0.672
panel-per-capita,Nigeria,NGA,2020,0.584
panel-per-capita,Nigeria,NGA,2024,0.584
panel-per-capita,United Kingdom,GBR,1950,9.960
panel-per-capita,United Kingdom,GBR,1970,11.724
panel-per-capita,United Kingdom,GBR,1990,10.493
panel-per-capita,United Kingdom,GBR,2010,8.125
panel-per-capita,United Kingdom,GBR,2020,4.844
panel-per-capita,United Kingdom,GBR,2024,4.526
panel-per-capita,United States,USA,1950,16.481
panel-per-capita,United States,USA,1970,20.884
panel-per-capita,United States,USA,1990,20.254
panel-per-capita,United States,USA,2010,18.225
panel-per-capita,United States,USA,2020,13.817
panel-per-capita,United States,USA,2024,14.197
panel-total,Brazil,BRA,1950,19.659
panel-total,Brazil,BRA,1970,93.467
panel-total,Brazil,BRA,1990,218.658
panel-total,Brazil,BRA,2010,440.269
panel-total,Brazil,BRA,2020,447.999
panel-total,Brazil,BRA,2024,483.012
panel-total,China,CHN,1950,78.835
panel-total,China,CHN,1970,807.964
panel-total,China,CHN,1990,2483.534
panel-total,China,CHN,2010,8610.048
panel-total,China,CHN,2020,10896.521
panel-total,China,CHN,2024,12289.037
panel-total,Germany,DEU,1950,510.499
panel-total,Germany,DEU,1970,1025.802
panel-total,Germany,DEU,1990,1054.796
panel-total,Germany,DEU,2010,826.705
panel-total,Germany,DEU,2020,647.177
panel-total,Germany,DEU,2024,572.319
panel-total,India,IND,1950,60.943
panel-total,India,IND,1970,181.724
panel-total,India,IND,1990,577.987
panel-total,India,IND,2010,1678.530
panel-total,India,IND,2020,2422.732
panel-total,India,IND,2024,3193.478
panel-total,Japan,JPN,1950,102.541
panel-total,Japan,JPN,1970,769.748
panel-total,Japan,JPN,1990,1154.853
panel-total,Japan,JPN,2010,1211.090
panel-total,Japan,JPN,2020,1037.285
panel-total,Japan,JPN,2024,961.867
panel-total,Nigeria,NGA,1950,2.257
panel-total,Nigeria,NGA,1970,21.520
panel-total,Nigeria,NGA,1990,38.786
panel-total,Nigeria,NGA,2010,112.050
panel-total,Nigeria,NGA,2020,124.899
panel-total,Nigeria,NGA,2024,135.824
panel-total,United Kingdom,GBR,1950,499.228
panel-total,United Kingdom,GBR,1970,652.585
panel-total,United Kingdom,GBR,1990,601.945
panel-total,United Kingdom,GBR,2010,511.905
panel-total,United Kingdom,GBR,2020,326.263
panel-total,United Kingdom,GBR,2024,312.906
panel-total,United States,USA,1950,2541.485
panel-total,United States,USA,1970,4339.704
panel-total,United States,USA,1990,5131.761
panel-total,United States,USA,2010,5669.250
panel-total,United States,USA,2020,4689.954
panel-total,United States,USA,2024,4904.120
world-per-capita,World,OWID_WRL,1850,0.154
world-per-capita,World,OWID_WRL,1851,0.155
world-per-capita,World,OWID_WRL,1852,0.162
world-per-capita,World,OWID_WRL,1853,0.169
world-per-capita,World,OWID_WRL,1854,0.199
world-per-capita,World,OWID_WRL,1855,0.202
world-per-capita,World,OWID_WRL,1856,0.216
world-per-capita,World,OWID_WRL,1857,0.218
world-per-capita,World,OWID_WRL,1858,0.221
world-per-capita,World,OWID_WRL,1859,0.234
world-per-capita,World,OWID_WRL,1860,0.256
world-per-capita,World,OWID_WRL,1861,0.268
world-per-capita,World,OWID_WRL,1862,0.273
world-per-capita,World,OWID_WRL,1863,0.290
world-per-capita,World,OWID_WRL,1864,0.312
world-per-capita,World,OWID_WRL,1865,0.330
world-per-capita,World,OWID_WRL,1866,0.340
world-per-capita,World,OWID_WRL,1867,0.363
world-per-capita,World,OWID_WRL,1868,0.372
world-per-capita,World,OWID_WRL,1869,0.393
world-per-capita,World,OWID_WRL,1870,0.400
world-per-capita,World,OWID_WRL,1871,0.423
world-per-capita,World,OWID_WRL,1872,0.466
world-per-capita,World,OWID_WRL,1873,0.493
world-per-capita,World,OWID_WRL,1874,0.460
world-per-capita,World,OWID_WRL,1875,0.495
world-per-capita,World,OWID_WRL,1876,0.500
world-per-capita,World,OWID_WRL,1877,0.506
world-per-capita,World,OWID_WRL,1878,0.508
world-per-capita,World,OWID_WRL,1879,0.540
world-per-capita,World,OWID_WRL,1880,0.607
world-per-capita,World,OWID_WRL,1881,0.624
world-per-capita,World,OWID_WRL,1882,0.654
world-per-capita,World,OWID_WRL,1883,0.691
world-per-capita,World,OWID_WRL,1884,0.694
world-per-capita,World,OWID_WRL,1885,0.694
world-per-capita,World,OWID_WRL,1886,0.699
world-per-capita,World,OWID_WRL,1887,0.729
world-per-capita,World,OWID_WRL,1888,0.801
world-per-capita,World,OWID_WRL,1889,0.796
world-per-capita,World,OWID_WRL,1890,0.860
world-per-capita,World,OWID_WRL,1891,0.894
world-per-capita,World,OWID_WRL,1892,0.895
world-per-capita,World,OWID_WRL,1893,0.878
world-per-capita,World,OWID_WRL,1894,0.904
world-per-capita,World,OWID_WRL,1895,0.951
world-per-capita,World,OWID_WRL,1896,0.976
world-per-capita,World,OWID_WRL,1897,1.016
world-per-capita,World,OWID_WRL,1898,1.064
world-per-capita,World,OWID_WRL,1899,1.154
world-per-capita,World,OWID_WRL,1900,1.206
world-per-capita,World,OWID_WRL,1901,1.235
world-per-capita,World,OWID_WRL,1902,1.256
world-per-capita,World,OWID_WRL,1903,1.358
world-per-capita,World,OWID_WRL,1904,1.362
world-per-capita,World,OWID_WRL,1905,1.440
world-per-capita,World,OWID_WRL,1906,1.491
world-per-capita,World,OWID_WRL,1907,1.684
world-per-capita,World,OWID_WRL,1908,1.604
world-per-capita,World,OWID_WRL,1909,1.658
world-per-capita,World,OWID_WRL,1910,1.726
world-per-capita,World,OWID_WRL,1911,1.740
world-per-capita,World,OWID_WRL,1912,1.815
world-per-capita,World,OWID_WRL,1913,1.953
world-per-capita,World,OWID_WRL,1914,1.760
world-per-capita,World,OWID_WRL,1915,1.721
world-per-capita,World,OWID_WRL,1916,1.847
world-per-capita,World,OWID_WRL,1917,1.919
world-per-capita,World,OWID_WRL,1918,1.878
world-per-capita,World,OWID_WRL,1919,1.617
world-per-capita,World,OWID_WRL,1920,1.871
world-per-capita,World,OWID_WRL,1921,1.630
world-per-capita,World,OWID_WRL,1922,1.694
world-per-capita,World,OWID_WRL,1923,1.905
world-per-capita,World,OWID_WRL,1924,1.895
