country,code,iso_numeric,start_year,start_index,end_year,end_index,change
Afghanistan,AFG,004,2020,0.167,2025,0.018,-0.149
Albania,ALB,008,2020,0.442,2025,0.382,-0.06
Algeria,DZA,012,2020,0.152,2025,0.126,-0.026
Angola,AGO,024,2020,0.16,2025,0.163,0.003
Argentina,ARG,032,2020,0.634,2025,0.524,-0.11
Armenia,ARM,051,2020,0.576,2025,0.371,-0.205
Australia,AUS,036,2020,0.79,2025,0.793,0.003
Austria,AUT,040,2020,0.786,2025,0.757,-0.029
Azerbaijan,AZE,031,2020,0.064,2025,0.053,-0.011
Bahrain,BHR,048,2020,0.062,2025,0.062,0
Bangladesh,BGD,050,2020,0.094,2025,0.116,0.022
Barbados,BRB,052,2020,0.692,2025,0.679,-0.013
Belarus,BLR,112,2020,0.045,2025,0.038,-0.007
Belgium,BEL,056,2020,0.826,2025,0.794,-0.032
Benin,BEN,204,2020,0.284,2025,0.323,0.039
Bhutan,BTN,064,2020,0.515,2025,0.457,-0.058
Bolivia,BOL,068,2020,0.209,2025,0.352,0.143
Bosnia and Herzegovina,BIH,070,2020,0.335,2025,0.339,0.004
Botswana,BWA,072,2020,0.484,2025,0.52,0.036
Brazil,BRA,076,2020,0.534,2025,0.704,0.17
Bulgaria,BGR,100,2020,0.501,2025,0.499,-0.002
Burkina Faso,BFA,854,2020,0.486,2025,0.103,-0.383
Burundi,BDI,108,2020,0.049,2025,0.06,0.011
Cambodia,KHM,116,2020,0.063,2025,0.051,-0.012
Cameroon,CMR,120,2020,0.123,2025,0.114,-0.009
Canada,CAN,124,2020,0.745,2025,0.736,-0.009
Cape Verde,CPV,132,2020,0.701,2025,0.631,-0.07
Central African Republic,CAF,140,2020,0.201,2025,0.102,-0.099
Chad,TCD,148,2020,0.088,2025,0.062,-0.026
Chile,CHL,152,2020,0.766,2025,0.781,0.015
China,CHN,156,2020,0.042,2025,0.039,-0.003
Colombia,COL,170,2020,0.496,2025,0.555,0.059
Comoros,COM,174,2020,0.124,2025,0.132,0.008
Congo,COG,178,2020,0.118,2025,0.115,-0.003
Costa Rica,CRI,188,2020,0.844,2025,0.809,-0.035
Cote d'Ivoire,CIV,384,2020,0.261,2025,0.228,-0.033
Croatia,HRV,191,2020,0.647,2025,0.593,-0.054
Cuba,CUB,192,2020,0.06,2025,0.057,-0.003
Cyprus,CYP,196,2020,0.691,2025,0.664,-0.027
Czechia,CZE,203,2020,0.709,2025,0.794,0.085
Democratic Republic of Congo,COD,180,2020,0.152,2025,0.115,-0.037
Denmark,DNK,208,2020,0.882,2025,0.884,0.002
Djibouti,DJI,262,2020,0.119,2025,0.118,-0.001
Dominican Republic,DOM,214,2020,0.449,2025,0.505,0.056
East Timor,TLS,626,2020,0.492,2025,0.549,0.057
Ecuador,ECU,218,2020,0.481,2025,0.386,-0.095
Egypt,EGY,818,2020,0.117,2025,0.115,-0.002
El Salvador,SLV,222,2020,0.316,2025,0.09,-0.226
Equatorial Guinea,GNQ,226,2020,0.051,2025,0.047,-0.004
Eritrea,ERI,232,2020,0.01,2025,0.009,-0.001
Estonia,EST,233,2020,0.842,2025,0.837,-0.005
Eswatini,SWZ,748,2020,0.115,2025,0.097,-0.018
Ethiopia,ETH,231,2020,0.152,2025,0.1,-0.052
Fiji,FJI,242,2020,0.276,2025,0.398,0.122
Finland,FIN,246,2020,0.844,2025,0.808,-0.036
France,FRA,250,2020,0.789,2025,0.8,0.011
Gabon,GAB,266,2020,0.196,2025,0.178,-0.018
Gambia,GMB,270,2020,0.403,2025,0.522,0.119
Georgia,GEO,268,2020,0.47,2025,0.275,-0.195
Germany,DEU,276,2020,0.821,2025,0.782,-0.039
Ghana,GHA,288,2020,0.604,2025,0.606,0.002
Greece,GRC,300,2020,0.669,2025,0.568,-0.101
Guatemala,GTM,320,2020,0.402,2025,0.523,0.121
Guinea,GIN,324,2020,0.113,2025,0.095,-0.018
Guinea-Bissau,GNB,624,2020,0.328,2025,0.095,-0.233
Guyana,GUY,328,2020,0.386,2025,0.328,-0.058
Haiti,HTI,332,2020,0.237,2025,0.098,-0.139
Honduras,HND,340,2020,0.233,2025,0.38,0.147
Hong Kong,HKG,344,2020,0.204,2025,0.142,-0.062
Hungary,HUN,348,2020,0.351,2025,0.315,-0.036
Iceland,ISL,352,2020,0.784,2025,0.72,-0.064
India,IND,356,2020,0.292,2025,0.26,-0.032
Indonesia,IDN,360,2020,0.411,2025,0.296,-0.115
Iran,IRN,364,2020,0.119,2025,0.103,-0.016
Iraq,IRQ,368,2020,0.212,2025,0.22,0.008
Ireland,IRL,372,2020,0.824,2025,0.822,-0.002
Israel,ISR,376,2020,0.639,2025,0.588,-0.051
Italy,ITA,380,2020,0.774,2025,0.642,-0.132
Jamaica,JAM,388,2020,0.702,2025,0.679,-0.023
Japan,JPN,392,2020,0.742,2025,0.734,-0.008
Jordan,JOR,400,2020,0.24,2025,0.274,0.034
Kazakhstan,KAZ,398,2020,0.117,2025,0.131,0.014
Kenya,KEN,404,2020,0.404,2025,0.446,0.042
Kuwait,KWT,414,2020,0.282,2025,0.127,-0.155
Kyrgyzstan,KGZ,417,2020,0.255,2025,0.178,-0.077
Laos,LAO,418,2020,0.094,2025,0.11,0.016
Latvia,LVA,428,2020,0.737,2025,0.751,0.014
Lebanon,LBN,422,2020,0.274,2025,0.267,-0.007
Lesotho,LSO,426,2020,0.505,2025,0.512,0.007
Liberia,LBR,430,2020,0.419,2025,0.417,-0.002
Libya,LBY,434,2020,0.145,2025,0.098,-0.047
Lithuania,LTU,440,2020,0.745,2025,0.712,-0.033
Luxembourg,LUX,442,2020,0.786,2025,0.777,-0.009
Madagascar,MDG,450,2020,0.246,2025,0.187,-0.059
Malawi,MWI,454,2020,0.462,2025,0.462,0
Malaysia,MYS,458,2020,0.307,2025,0.355,0.048
Maldives,MDV,462,2020,0.429,2025,0.416,-0.013
Mali,MLI,466,2020,0.254,2025,0.15,-0.104
Malta,MLT,470,2020,0.605,2025,0.621,0.016
Mauritania,MRT,478,2020,0.206,2025,0.127,-0.079
Mauritius,MUS,480,2020,0.451,2025,0.639,0.188
Mexico,MEX,484,2020,0.406,2025,0.221,-0.185
Moldova,MDA,498,2020,0.518,2025,0.449,-0.069
Mongolia,MNG,496,2020,0.523,2025,0.424,-0.099
Montenegro,MNE,499,2020,0.395,2025,0.5,0.105
Morocco,MAR,504,2020,0.238,2025,0.251,0.013
Mozambique,MOZ,508,2020,0.238,2025,0.175,-0.063
Myanmar,MMR,104,2020,0.252,2025,0.015,-0.237
Namibia,NAM,516,2020,0.516,2025,0.519,0.003
Nepal,NPL,524,2020,0.477,2025,0.505,0.028
Netherlands,NLD,528,2020,0.813,2025,0.774,-0.039
New Zealand,NZL,554,2020,0.826,2025,0.787,-0.039
Nicaragua,NIC,558,2020,0.045,2025,0.019,-0.026
Niger,NER,562,2020,0.401,2025,0.177,-0.224
Nigeria,NGA,566,2020,0.349,2025,0.311,-0.038
North Korea,PRK,408,2020,0.014,2025,0.014,0
North Macedonia,MKD,807,2020,0.4,2025,0.374,-0.026
Norway,NOR,578,2020,0.84,2025,0.847,0.007
Oman,OMN,512,2020,0.137,2025,0.14,0.003
Pakistan,PAK,586,2020,0.253,2025,0.176,-0.077
Panama,PAN,591,2020,0.533,2025,0.575,0.042
Papua New Guinea,PNG,598,2020,0.359,2025,0.384,0.025
Paraguay,PRY,600,2020,0.42,2025,0.376,-0.044
Peru,PER,604,2020,0.706,2025,0.506,-0.2
Philippines,PHL,608,2020,0.27,2025,0.291,0.021
Poland,POL,616,2020,0.45,2025,0.645,0.195
Portugal,PRT,620,2020,0.806,2025,0.717,-0.089
Qatar,QAT,634,2020,0.083,2025,0.091,0.008
Romania,ROU,642,2020,0.676,2025,0.464,-0.212
Russia,RUS,643,2020,0.097,2025,0.056,-0.041
Rwanda,RWA,646,2020,0.12,2025,0.09,-0.03
Sao Tome and Principe,STP,678,2020,0.557,2025,0.519,-0.038
Saudi Arabia,SAU,682,2020,0.045,2025,0.047,0.002
Senegal,SEN,686,2020,0.563,2025,0.484,-0.079
Serbia,SRB,688,2020,0.244,2025,0.208,-0.036
Seychelles,SYC,690,2020,0.575,2025,0.68,0.105
Sierra Leone,SLE,694,2020,0.426,2025,0.348,-0.078
Singapore,SGP,702,2020,0.332,2025,0.36,0.028
Slovakia,SVK,703,2020,0.757,2025,0.573,-0.184
Slovenia,SVN,705,2020,0.665,2025,0.589,-0.076
Solomon Islands,SLB,090,2020,0.494,2025,0.539,0.045
Somalia,SOM,706,2020,0.105,2025,0.128,0.023
South Africa,ZAF,710,2020,0.604,2025,0.633,0.029
South Korea,KOR,410,2020,0.782,2025,0.739,-0.043
South Sudan,SSD,728,2020,0.069,2025,0.064,-0.005
Spain,ESP,724,2020,0.786,2025,0.741,-0.045
Sri Lanka,LKA,144,2020,0.379,2025,0.613,0.234
Sudan,SDN,729,2020,0.054,2025,0.034,-0.02
Suriname,SUR,740,2020,0.628,2025,0.626,-0.002
Sweden,SWE,752,2020,0.868,2025,0.853,-0.015
Switzerland,CHE,756,2020,0.856,2025,0.843,-0.013
Syria,SYR,760,2020,0.031,2025,0.054,0.023
Taiwan,TWN,158,2020,0.719,2025,0.704,-0.015
Tajikistan,TJK,762,2020,0.041,2025,0.043,0.002
Tanzania,TZA,834,2020,0.33,2025,0.297,-0.033
Thailand,THA,764,2020,0.187,2025,0.314,0.127
Togo,TGO,768,2020,0.233,2025,0.157,-0.076
Trinidad and Tobago,TTO,780,2020,0.672,2025,0.668,-0.004
Tunisia,TUN,788,2020,0.623,2025,0.265,-0.358
Turkey,TUR,792,2020,0.115,2025,0.11,-0.005
Turkmenistan,TKM,795,2020,0.033,2025,0.034,0.001
Uganda,UGA,800,2020,0.192,2025,0.165,-0.027
Ukraine,UKR,804,2020,0.325,2025,0.24,-0.085
United Arab Emirates,ARE,784,2020,0.09,2025,0.077,-0.013
United Kingdom,GBR,826,2020,0.8,2025,0.689,-0.111
United States,USA,840,2020,0.734,2025,0.571,-0.163
Uruguay,URY,858,2020,0.808,2025,0.79,-0.018
Uzbekistan,UZB,860,2020,0.083,2025,0.079,-0.004
Vanuatu,VUT,548,2020,0.659,2025,0.623,-0.036
Venezuela,VEN,862,2020,0.056,2025,0.042,-0.014
Vietnam,VNM,704,2020,0.106,2025,0.102,-0.004
Yemen,YEM,887,2020,0.033,2025,0.043,0.01
Zambia,ZMB,894,2020,0.292,2025,0.375,0.083
Zimbabwe,ZWE,716,2020,0.192,2025,0.147,-0.045
