country,code,iso_numeric,year,index
Argentina,ARG,032,1990,0.617
Argentina,ARG,032,1991,0.63
Argentina,ARG,032,1992,0.631
Argentina,ARG,032,1993,0.63
Argentina,ARG,032,1994,0.633
Argentina,ARG,032,1995,0.641
Argentina,ARG,032,1996,0.634
Argentina,ARG,032,1997,0.634
Argentina,ARG,032,1998,0.634
Argentina,ARG,032,1999,0.64
Argentina,ARG,032,2000,0.67
Argentina,ARG,032,2001,0.674
Argentina,ARG,032,2002,0.661
Argentina,ARG,032,2003,0.638
Argentina,ARG,032,2004,0.632
Argentina,ARG,032,2005,0.625
Argentina,ARG,032,2006,0.614
Argentina,ARG,032,2007,0.61
Argentina,ARG,032,2008,0.59
Argentina,ARG,032,2009,0.583
Argentina,ARG,032,2010,0.578
Argentina,ARG,032,2011,0.573
Argentina,ARG,032,2012,0.582
Argentina,ARG,032,2013,0.588
Argentina,ARG,032,2014,0.595
Argentina,ARG,032,2015,0.59
Argentina,ARG,032,2016,0.612
Argentina,ARG,032,2017,0.609
Argentina,ARG,032,2018,0.63
Argentina,ARG,032,2019,0.618
Argentina,ARG,032,2020,0.634
Argentina,ARG,032,2021,0.639
Argentina,ARG,032,2022,0.654
Argentina,ARG,032,2023,0.695
Argentina,ARG,032,2024,0.558
Argentina,ARG,032,2025,0.524
Botswana,BWA,072,1990,0.577
Botswana,BWA,072,1991,0.577
Botswana,BWA,072,1992,0.577
Botswana,BWA,072,1993,0.577
Botswana,BWA,072,1994,0.58
Botswana,BWA,072,1995,0.587
Botswana,BWA,072,1996,0.587
Botswana,BWA,072,1997,0.601
Botswana,BWA,072,1998,0.604
Botswana,BWA,072,1999,0.607
Botswana,BWA,072,2000,0.607
Botswana,BWA,072,2001,0.607
Botswana,BWA,072,2002,0.607
Botswana,BWA,072,2003,0.607
Botswana,BWA,072,2004,0.615
Botswana,BWA,072,2005,0.619
Botswana,BWA,072,2006,0.623
Botswana,BWA,072,2007,0.623
Botswana,BWA,072,2008,0.617
Botswana,BWA,072,2009,0.614
Botswana,BWA,072,2010,0.622
Botswana,BWA,072,2011,0.624
Botswana,BWA,072,2012,0.617
Botswana,BWA,072,2013,0.609
Botswana,BWA,072,2014,0.61
Botswana,BWA,072,2015,0.587
Botswana,BWA,072,2016,0.582
Botswana,BWA,072,2017,0.568
Botswana,BWA,072,2018,0.573
Botswana,BWA,072,2019,0.56
Botswana,BWA,072,2020,0.484
Botswana,BWA,072,2021,0.477
Botswana,BWA,072,2022,0.459
Botswana,BWA,072,2023,0.444
Botswana,BWA,072,2024,0.47
Botswana,BWA,072,2025,0.52
Brazil,BRA,076,1990,0.678
Brazil,BRA,076,1991,0.692
Brazil,BRA,076,1992,0.699
Brazil,BRA,076,1993,0.704
Brazil,BRA,076,1994,0.707
Brazil,BRA,076,1995,0.712
Brazil,BRA,076,1996,0.711
Brazil,BRA,076,1997,0.711
Brazil,BRA,076,1998,0.711
Brazil,BRA,076,1999,0.713
Brazil,BRA,076,2000,0.717
Brazil,BRA,076,2001,0.717
Brazil,BRA,076,2002,0.721
Brazil,BRA,076,2003,0.722
Brazil,BRA,076,2004,0.722
Brazil,BRA,076,2005,0.772
Brazil,BRA,076,2006,0.77
Brazil,BRA,076,2007,0.769
Brazil,BRA,076,2008,0.769
Brazil,BRA,076,2009,0.769
Brazil,BRA,076,2010,0.776
Brazil,BRA,076,2011,0.781
Brazil,BRA,076,2012,0.777
Brazil,BRA,076,2013,0.781
Brazil,BRA,076,2014,0.783
Brazil,BRA,076,2015,0.769
Brazil,BRA,076,2016,0.653
Brazil,BRA,076,2017,0.641
Brazil,BRA,076,2018,0.608
Brazil,BRA,076,2019,0.528
Brazil,BRA,076,2020,0.534
Brazil,BRA,076,2021,0.531
Brazil,BRA,076,2022,0.54
Brazil,BRA,076,2023,0.695
Brazil,BRA,076,2024,0.712
Brazil,BRA,076,2025,0.704
China,CHN,156,1990,0.065
China,CHN,156,1991,0.065
China,CHN,156,1992,0.065
China,CHN,156,1993,0.067
China,CHN,156,1994,0.067
China,CHN,156,1995,0.069
China,CHN,156,1996,0.068
China,CHN,156,1997,0.068
China,CHN,156,1998,0.069
China,CHN,156,1999,0.07
China,CHN,156,2000,0.07
China,CHN,156,2001,0.071
China,CHN,156,2002,0.073
China,CHN,156,2003,0.074
China,CHN,156,2004,0.073
China,CHN,156,2005,0.057
