measure,entity,code,year,value
median-observed-world,World,OWID_WRL,1950,22.159
median-observed-world,World,OWID_WRL,1951,22.123
median-observed-world,World,OWID_WRL,1952,22.074
median-observed-world,World,OWID_WRL,1953,22.011
median-observed-world,World,OWID_WRL,1954,21.937
median-observed-world,World,OWID_WRL,1955,21.839
median-observed-world,World,OWID_WRL,1956,21.744
median-observed-world,World,OWID_WRL,1957,21.639
median-observed-world,World,OWID_WRL,1958,21.531
median-observed-world,World,OWID_WRL,1959,21.471
median-observed-world,World,OWID_WRL,1960,21.455
median-observed-world,World,OWID_WRL,1961,21.444
median-observed-world,World,OWID_WRL,1962,21.369
median-observed-world,World,OWID_WRL,1963,21.201
median-observed-world,World,OWID_WRL,1964,21.004
median-observed-world,World,OWID_WRL,1965,20.811
median-observed-world,World,OWID_WRL,1966,20.626
median-observed-world,World,OWID_WRL,1967,20.481
median-observed-world,World,OWID_WRL,1968,20.393
median-observed-world,World,OWID_WRL,1969,20.333
median-observed-world,World,OWID_WRL,1970,20.308
median-observed-world,World,OWID_WRL,1971,20.32
median-observed-world,World,OWID_WRL,1972,20.363
median-observed-world,World,OWID_WRL,1973,20.433
median-observed-world,World,OWID_WRL,1974,20.532
median-observed-world,World,OWID_WRL,1975,20.659
median-observed-world,World,OWID_WRL,1976,20.804
median-observed-world,World,OWID_WRL,1977,20.967
median-observed-world,World,OWID_WRL,1978,21.132
median-observed-world,World,OWID_WRL,1979,21.295
median-observed-world,World,OWID_WRL,1980,21.452
median-observed-world,World,OWID_WRL,1981,21.589
median-observed-world,World,OWID_WRL,1982,21.691
median-observed-world,World,OWID_WRL,1983,21.78
median-observed-world,World,OWID_WRL,1984,21.874
median-observed-world,World,OWID_WRL,1985,22.005
median-observed-world,World,OWID_WRL,1986,22.193
median-observed-world,World,OWID_WRL,1987,22.388
median-observed-world,World,OWID_WRL,1988,22.575
median-observed-world,World,OWID_WRL,1989,22.751
median-observed-world,World,OWID_WRL,1990,22.923
median-observed-world,World,OWID_WRL,1991,23.1
median-observed-world,World,OWID_WRL,1992,23.301
median-observed-world,World,OWID_WRL,1993,23.52
median-observed-world,World,OWID_WRL,1994,23.75
median-observed-world,World,OWID_WRL,1995,23.98
median-observed-world,World,OWID_WRL,1996,24.209
median-observed-world,World,OWID_WRL,1997,24.438
median-observed-world,World,OWID_WRL,1998,24.673
median-observed-world,World,OWID_WRL,1999,24.907
median-observed-world,World,OWID_WRL,2000,25.131
median-observed-world,World,OWID_WRL,2001,25.34
median-observed-world,World,OWID_WRL,2002,25.541
median-observed-world,World,OWID_WRL,2003,25.737
median-observed-world,World,OWID_WRL,2004,25.931
median-observed-world,World,OWID_WRL,2005,26.123
median-observed-world,World,OWID_WRL,2006,26.323
median-observed-world,World,OWID_WRL,2007,26.533
