series,measure,entity,code,year,value
world,electricity,World,OWID_WRL,1998,73.200584
world,electricity,World,OWID_WRL,1999,74.50786
world,electricity,World,OWID_WRL,2000,78.22497
world,electricity,World,OWID_WRL,2001,78.71881
world,electricity,World,OWID_WRL,2002,79.10436
world,electricity,World,OWID_WRL,2003,79.96847
world,electricity,World,OWID_WRL,2004,79.9557
world,electricity,World,OWID_WRL,2005,80.704575
world,electricity,World,OWID_WRL,2006,81.35673
world,electricity,World,OWID_WRL,2007,81.97457
world,electricity,World,OWID_WRL,2008,82.67142
world,electricity,World,OWID_WRL,2009,82.86883
world,electricity,World,OWID_WRL,2010,83.45016
world,electricity,World,OWID_WRL,2011,84.50887
world,electricity,World,OWID_WRL,2012,84.939156
world,electricity,World,OWID_WRL,2013,85.71369
world,electricity,World,OWID_WRL,2014,86.19854
world,electricity,World,OWID_WRL,2015,86.92737
world,electricity,World,OWID_WRL,2016,88.10809
world,electricity,World,OWID_WRL,2017,88.935715
world,electricity,World,OWID_WRL,2018,89.80118
world,electricity,World,OWID_WRL,2019,90.10896
world,electricity,World,OWID_WRL,2020,90.39954
world,electricity,World,OWID_WRL,2021,91.33852
world,electricity,World,OWID_WRL,2022,91.28178
world,electricity,World,OWID_WRL,2023,91.60348
world,electricity,World,OWID_WRL,2024,91.92648
world,sanitation,World,OWID_WRL,2000,55.889515
world,sanitation,World,OWID_WRL,2001,56.498837
world,sanitation,World,OWID_WRL,2002,57.43297
world,sanitation,World,OWID_WRL,2003,58.521515
world,sanitation,World,OWID_WRL,2004,59.65659
world,sanitation,World,OWID_WRL,2005,60.828297
world,sanitation,World,OWID_WRL,2006,62.00662
world,sanitation,World,OWID_WRL,2007,63.208675
world,sanitation,World,OWID_WRL,2008,64.414604
world,sanitation,World,OWID_WRL,2009,65.61358
world,sanitation,World,OWID_WRL,2010,66.80993
world,sanitation,World,OWID_WRL,2011,67.91329
world,sanitation,World,OWID_WRL,2012,69.0999
world,sanitation,World,OWID_WRL,2013,70.324265
world,sanitation,World,OWID_WRL,2014,71.51383
world,sanitation,World,OWID_WRL,2015,72.70564
world,sanitation,World,OWID_WRL,2016,73.89035
world,sanitation,World,OWID_WRL,2017,75.02245
world,sanitation,World,OWID_WRL,2018,76.17369
world,sanitation,World,OWID_WRL,2019,77.31867
world,sanitation,World,OWID_WRL,2020,78.41932
world,sanitation,World,OWID_WRL,2021,79.506805
world,sanitation,World,OWID_WRL,2022,80.559685
world,sanitation,World,OWID_WRL,2023,81.36148
world,sanitation,World,OWID_WRL,2024,82.0083
panel,electricity,Germany,DEU,2000,100
panel,electricity,Germany,DEU,2010,100
panel,electricity,Germany,DEU,2024,100
panel,electricity,Brazil,BRA,2000,94.4
panel,electricity,Brazil,BRA,2010,98.6
panel,electricity,Brazil,BRA,2024,99.8
panel,electricity,India,IND,2000,60.3
panel,electricity,India,IND,2010,76.3
panel,electricity,India,IND,2024,99.9
panel,electricity,Nigeria,NGA,2000,43.2
panel,electricity,Nigeria,NGA,2010,48
panel,electricity,Nigeria,NGA,2024,62.5
panel,electricity,United States,USA,2000,100
panel,electricity,United States,USA,2010,100
panel,electricity,United States,USA,2024,100
panel,sanitation,Germany,DEU,2000,99.21811
panel,sanitation,Germany,DEU,2010,99.224144
panel,sanitation,Germany,DEU,2024,99.22695
panel,sanitation,Brazil,BRA,2000,73.36616
panel,sanitation,Brazil,BRA,2010,81.70014
panel,sanitation,Brazil,BRA,2024,92.40127
panel,sanitation,India,IND,2000,14.663882
panel,sanitation,India,IND,2010,42.51911
panel,sanitation,India,IND,2024,83.380875
panel,sanitation,Nigeria,NGA,2000,27.994637
panel,sanitation,Nigeria,NGA,2010,34.693134
panel,sanitation,Nigeria,NGA,2024,47.901936
panel,sanitation,United States,USA,2000,99.872734
panel,sanitation,United States,USA,2010,99.87054
panel,sanitation,United States,USA,2024,99.61827
