year,kcal_per_person_day
1961,2183.74
1962,2229.9001
1963,2233.9036
1964,2260.0144
1965,2279.4038
1966,2295.2974
1967,2299.2615
1968,2303.4976
1969,2312.3752
1970,2357.6013
1971,2334.1072
1972,2321.8433
1973,2358.5105
1974,2350.712
1975,2366.0088
1976,2359.5437
1977,2388.1965
1978,2446.153
1979,2444.2083
1980,2456.6252
1981,2465.9656
1982,2493.4866
1983,2535.4656
1984,2544.1062
1985,2547.0808
1986,2549.1733
1987,2566.8206
1988,2583.6492
1989,2594.0737
1990,2579.3457
1991,2557.8862
1992,2565.3564
1993,2566.9763
1994,2588.2222
1995,2610.1233
1996,2617.7515
1997,2628.8784
1998,2639.7783
1999,2650.6294
2000,2659.2173
2001,2653.9727
2002,2653.9026
2003,2657.9585
2004,2666.9324
2005,2677.8682
2006,2692.6128
2007,2716.6968
2008,2730.8528
2009,2727.4556
2010,2795.7551
2011,2815.414
2012,2834.6226
2013,2840.0308
2014,2870.563
2015,2872.376
2016,2879.356
2017,2905.1902
2018,2910.209
2019,2931.7092
2020,2942.5283
2021,2964.7986
2022,2987.4412
2023,3005.6204
