year,refugees,asylum_seekers,idps,oip
1951,2116011,,,
1952,1952928,,,
1953,1847304,,,
1954,1749628,,,
1955,1717966,,,
1956,1767975,,,
1957,1742514,,,
1958,1698310,,,
1959,1674185,,,
1960,1656664,,,
1961,1789067,,,
1962,1765622,,,
1963,1682403,,,
1964,3079949,,,
1965,3531615,,,
1966,3501013,,,
1967,2356991,,,
1968,2463736,,,
1969,2531177,,,
1970,2464730,,,
1971,3279710,,,
1972,3251850,,,
1973,2901335,,,
1974,2994463,,,
1975,3529434,,,
1976,4270631,,,
1977,4518659,,,
1978,5065844,,,
1979,6279912,,,
1980,8454917,,,
1981,9714297,,,
1982,10319353,,,
1983,10620784,,,
1984,10728307,,,
1985,11864046,,,
1986,12633964,,,
1987,13128334,,,
1988,14347031,,,
1989,14732885,,,
1990,17395914,,,
1991,16854762,,,
1992,17838020,,,
1993,16325299,743601,4198400,
1994,15753494,644640,5322990,
1995,14895916,986458,4286690,
1996,13356861,977087,4853712,
1997,12014967,1028200,4573112,
1998,11480438,977800,5063880,
1999,11686760,1027400,3968648,
2000,12129079,947322,5998501,
2001,12116301,943383,5096502,
2002,10593526,1093121,4646641,
2003,9592247,995567,4181701,
2004,9572719,884285,5426539,
2005,8661293,801119,6616791,
2006,9876879,740253,12794268,
2007,11390082,739958,13740317,
2008,10488915,823931,14442227,
2009,10395713,988030,15628057,
2010,10548835,835969,14697804,
2011,10403937,895691,15473378,
2012,10497017,941497,17670368,
2013,11698233,1162934,23925555,
2014,14384289,1794704,32274619,
2015,16110276,3223460,37494172,
2016,17184286,2729521,36627127,
2017,19940566,3089507,39118516,
2018,20359553,3501629,41425168,2592947
2019,20414669,4148141,43503362,3582202
2020,20661846,4184926,48557439,3862102
2021,21327285,4616135,51322623,4406432
2022,29429078,5442312,57321197,5217456
2023,31637408,6858500,63251367,5755363
2024,30958200,8352712,68131711,5875359
