measure,entity,code,year,edition,value
overall-median,Country median,MEDIAN,2012,2012-2013,0.524597
overall-median,Country median,MEDIAN,2014,2014,0.509562
overall-median,Country median,MEDIAN,2015,2015,0.522699
overall-median,Country median,MEDIAN,2016,2016,0.541634
overall-median,Country median,MEDIAN,2017,2017-2018,0.531055
overall-median,Country median,MEDIAN,2019,2019,0.519230
overall-median,Country median,MEDIAN,2020,2020,0.519360
overall-median,Country median,MEDIAN,2021,2021,0.519755
overall-median,Country median,MEDIAN,2022,2022,0.519377
overall-median,Country median,MEDIAN,2023,2023,0.515710
overall-median,Country median,MEDIAN,2024,2024,0.518510
overall-median,Country median,MEDIAN,2025,2025,0.519269
overall-panel,Germany,DEU,2012,2012-2013,0.791051
overall-panel,France,FRA,2012,2012-2013,0.763880
overall-panel,United Kingdom,GBR,2012,2012-2013,0.782503
overall-panel,Japan,JPN,2012,2012-2013,0.805957
overall-panel,United States,USA,2012,2012-2013,0.734025
overall-panel,Brazil,BRA,2012,2012-2013,0.576792
overall-panel,India,IND,2012,2012-2013,0.456212
overall-panel,Nigeria,NGA,2012,2012-2013,0.399570
overall-panel,Germany,DEU,2014,2014,0.795178
overall-panel,France,FRA,2014,2014,0.742160
overall-panel,United Kingdom,GBR,2014,2014,0.779239
overall-panel,Japan,JPN,2014,2014,0.779249
overall-panel,United States,USA,2014,2014,0.709409
overall-panel,Brazil,BRA,2014,2014,0.544624
overall-panel,India,IND,2014,2014,0.477111
overall-panel,Nigeria,NGA,2014,2014,0.391198
overall-panel,Germany,DEU,2015,2015,0.826823
overall-panel,France,FRA,2015,2015,0.751660
overall-panel,United Kingdom,GBR,2015,2015,0.800003
overall-panel,Japan,JPN,2015,2015,0.788817
overall-panel,United States,USA,2015,2015,0.736794
overall-panel,Brazil,BRA,2015,2015,0.552621
overall-panel,India,IND,2015,2015,0.514244
overall-panel,Nigeria,NGA,2015,2015,0.422454
overall-panel,Germany,DEU,2016,2016,0.836004
overall-panel,France,FRA,2016,2016,0.719856
overall-panel,United Kingdom,GBR,2016,2016,0.811355
overall-panel,Japan,JPN,2016,2016,0.781572
overall-panel,United States,USA,2016,2016,0.741283
overall-panel,Brazil,BRA,2016,2016,0.558761
overall-panel,India,IND,2016,2016,0.515081
overall-panel,Nigeria,NGA,2016,2016,0.443871
overall-panel,Germany,DEU,2017,2017-2018,0.835859
