country,code,year,gini
United States,USA,1963,0.3672647476196289
United States,USA,1964,0.3737528622150421
United States,USA,1965,0.36825403571128845
United States,USA,1966,0.37097328901290894
United States,USA,1967,0.36874738335609436
United States,USA,1968,0.36322668194770813
United States,USA,1969,0.36007434129714966
United States,USA,1970,0.3659282624721527
United States,USA,1971,0.3691260516643524
United States,USA,1972,0.3665730059146881
United States,USA,1973,0.3610886335372925
United States,USA,1974,0.3547529876232147
United States,USA,1975,0.35650530457496643
United States,USA,1976,0.35561928153038025
United States,USA,1977,0.35498371720314026
United States,USA,1978,0.3478134870529175
United States,USA,1979,0.3475940525531769
United States,USA,1980,0.34717968106269836
United States,USA,1981,0.35488295555114746
United States,USA,1982,0.3666103482246399
United States,USA,1983,0.37292733788490295
United States,USA,1984,0.3734532594680786
United States,USA,1985,0.37641510367393494
United States,USA,1986,0.3755713105201721
United States,USA,1987,0.3719710111618042
United States,USA,1988,0.3770599663257599
United States,USA,1989,0.3823886215686798
United States,USA,1990,0.3826335072517395
United States,USA,1991,0.38045772910118103
United States,USA,1992,0.38373813033103943
United States,USA,1993,0.40365490317344666
United States,USA,1994,0.3998779356479645
United States,USA,1995,0.3985598683357239
United States,USA,1996,0.40310901403427124
United States,USA,1997,0.4053068459033966
United States,USA,1998,0.39954155683517456
United States,USA,1999,0.39986297488212585
United States,USA,2000,0.40141409635543823
United States,USA,2001,0.40597113966941833
United States,USA,2002,0.40354451537132263
United States,USA,2003,0.40771839022636414
United States,USA,2004,0.40547800064086914
United States,USA,2005,0.41262272000312805
United States,USA,2006,0.41695788502693176
United States,USA,2007,0.4109093248844147
United States,USA,2008,0.41094452142715454
United States,USA,2009,0.4085213541984558
United States,USA,2010,0.4024299383163452
United States,USA,2011,0.41164952516555786
United States,USA,2012,0.4115743935108185
United States,USA,2013,0.4087271988391876
United States,USA,2014,0.41738635301589966
United States,USA,2015,0.41457438468933105
United States,USA,2016,0.4133145213127136
United States,USA,2017,0.4138738512992859
United States,USA,2018,0.4178423285484314
United States,USA,2019,0.41902995109558105
United States,USA,2020,0.4000265896320343
United States,USA,2021,0.3971271812915802
United States,USA,2022,0.4170035421848297
United States,USA,2023,0.4182046055793762
United States,USA,2024,0.4176252782344818
Brazil,BRA,1981,0.5786404609680176
Brazil,BRA,1982,0.5835609436035156
Brazil,BRA,1983,0.5890397429466248
Brazil,BRA,1984,0.5829911828041077
Brazil,BRA,1985,0.5552642345428467
Brazil,BRA,1986,0.5843289494514465
Brazil,BRA,1987,0.5964314937591553
Brazil,BRA,1988,0.6137229800224304
Brazil,BRA,1989,0.6324578523635864
Brazil,BRA,1990,0.6045087575912476
Brazil,BRA,1992,0.5310341715812683
Brazil,BRA,1993,0.6006689667701721
Brazil,BRA,1995,0.5953119397163391
Brazil,BRA,1996,0.5983837842941284
Brazil,BRA,1997,0.597547173500061
Brazil,BRA,1998,0.595662534236908
Brazil,BRA,1999,0.5895122289657593
Brazil,BRA,2001,0.5840287804603577
Brazil,BRA,2002,0.5810567140579224
Brazil,BRA,2003,0.5755338668823242
Brazil,BRA,2004,0.5647182464599609
Brazil,BRA,2005,0.5631012916564941
Brazil,BRA,2006,0.5564221143722534
Brazil,BRA,2007,0.5491916537284851
Brazil,BRA,2008,0.5403758883476257
Brazil,BRA,2009,0.5368199944496155
Brazil,BRA,2011,0.5294176936149597
Brazil,BRA,2012,0.5344597697257996
Brazil,BRA,2013,0.5271087288856506
Brazil,BRA,2014,0.5205163359642029
Brazil,BRA,2015,0.5193667411804199
Brazil,BRA,2016,0.5336230397224426
Brazil,BRA,2017,0.5328665971755981
Brazil,BRA,2018,0.5389050245285034
Brazil,BRA,2019,0.534758448600769
Brazil,BRA,2020,0.4882206320762634
Brazil,BRA,2021,0.5285088419914246
Brazil,BRA,2022,0.5189443826675415
Brazil,BRA,2023,0.5148624181747437
Brazil,BRA,2024,0.5025812387466431
China,CHN,1981,0.2816409766674042
China,CHN,1984,0.2710230052471161
China,CHN,1987,0.2938595712184906
China,CHN,1990,0.32226619124412537
China,CHN,1993,0.33877798914909363
China,CHN,1996,0.35227659344673157
China,CHN,1999,0.387032151222229
China,CHN,2002,0.4198572635650635
China,CHN,2005,0.4090076684951782
China,CHN,2008,0.4296503961086273
China,CHN,2010,0.43744954466819763
China,CHN,2011,0.42409223318099976
China,CHN,2012,0.42237165570259094
China,CHN,2013,0.3973639905452728
China,CHN,2014,0.39177653193473816
China,CHN,2015,0.38595303893089294
China,CHN,2016,0.38480517268180847
China,CHN,2017,0.3907577693462372
China,CHN,2018,0.38497641682624817
China,CHN,2019,0.38168343901634216
China,CHN,2020,0.37090831995010376
China,CHN,2021,0.35743752121925354
China,CHN,2022,0.360195130109787
India,IND,1977,0.29687821865081787
India,IND,1983,0.27203676104545593
India,IND,1987,0.27531003952026367
India,IND,1993,0.26109811663627625
India,IND,2004,0.27682065963745117
India,IND,2009,0.2782588601112366
India,IND,2011,0.2877688407897949
India,IND,2022,0.2551499605178833
Nigeria,NGA,1985,0.38677850365638733
Nigeria,NGA,1992,0.44922247529029846
Nigeria,NGA,1996,0.518993616104126
Nigeria,NGA,2003,0.4006081819534302
Nigeria,NGA,2010,0.35650208592414856
Nigeria,NGA,2012,0.35513007640838623
Nigeria,NGA,2015,0.3587977886199951
Nigeria,NGA,2018,0.3512774407863617
Nigeria,NGA,2022,0.33894869685173035
South Africa,ZAF,1993,0.5933393836021423
South Africa,ZAF,2000,0.5776966214179993
South Africa,ZAF,2005,0.650010347366333
South Africa,ZAF,2008,0.6251803040504456
South Africa,ZAF,2010,0.6087313890457153
South Africa,ZAF,2014,0.5963907837867737
South Africa,ZAF,2022,0.5405394434928894
Germany,DEU,1991,0.29299071431159973
Germany,DEU,1992,0.2896960973739624
Germany,DEU,1993,0.2841121554374695
Germany,DEU,1994,0.290790319442749
Germany,DEU,1995,0.2873387038707733
Germany,DEU,1996,0.2825237810611725
Germany,DEU,1997,0.2818816602230072
Germany,DEU,1998,0.2814408242702484
Germany,DEU,1999,0.2899678647518158
Germany,DEU,2000,0.2868901789188385
Germany,DEU,2001,0.2992582321166992
Germany,DEU,2002,0.29876595735549927
Germany,DEU,2003,0.2987043857574463
Germany,DEU,2004,0.30112794041633606
Germany,DEU,2005,0.316117525100708
Germany,DEU,2006,0.31046903133392334
Germany,DEU,2007,0.31191548705101013
Germany,DEU,2008,0.3063329756259918
Germany,DEU,2009,0.3044077157974243
Germany,DEU,2010,0.30200904607772827
Germany,DEU,2011,0.30444011092185974
Germany,DEU,2012,0.3090589940547943
Germany,DEU,2013,0.3142034113407135
Germany,DEU,2014,0.30797404050827026
Germany,DEU,2015,0.3140551447868347
Germany,DEU,2016,0.31318479776382446
Germany,DEU,2017,0.3131583333015442
Germany,DEU,2018,0.3188331127166748
Germany,DEU,2019,0.3221137523651123
Germany,DEU,2020,0.3250107765197754
Germany,DEU,2021,0.33575233817100525
Germany,DEU,2022,0.33659249544143677
