measure,entity,code,year,value
inflation-world,World,OWID_WRL,1981,12.442437
inflation-world,World,OWID_WRL,1982,10.221727
inflation-world,World,OWID_WRL,1983,8.669271
inflation-world,World,OWID_WRL,1984,8.08032
inflation-world,World,OWID_WRL,1985,6.8075666
inflation-world,World,OWID_WRL,1986,5.8226657
inflation-world,World,OWID_WRL,1987,5.7101192
inflation-world,World,OWID_WRL,1988,7.1134067
inflation-world,World,OWID_WRL,1989,6.923905
inflation-world,World,OWID_WRL,1990,8.063461
inflation-world,World,OWID_WRL,1991,8.996939
inflation-world,World,OWID_WRL,1992,7.6361084
inflation-world,World,OWID_WRL,1993,7.144587
inflation-world,World,OWID_WRL,1994,10.247935
inflation-world,World,OWID_WRL,1995,9.077381
inflation-world,World,OWID_WRL,1996,6.526096
inflation-world,World,OWID_WRL,1997,5.55413
inflation-world,World,OWID_WRL,1998,5.0972915
inflation-world,World,OWID_WRL,1999,3.0419466
inflation-world,World,OWID_WRL,2000,3.4335155
inflation-world,World,OWID_WRL,2001,3.8365726
inflation-world,World,OWID_WRL,2002,2.907997
inflation-world,World,OWID_WRL,2003,3.0250452
inflation-world,World,OWID_WRL,2004,3.517999
inflation-world,World,OWID_WRL,2005,4.1072507
inflation-world,World,OWID_WRL,2006,4.2671747
inflation-world,World,OWID_WRL,2007,4.810237
inflation-world,World,OWID_WRL,2008,8.949953
inflation-world,World,OWID_WRL,2009,2.8604486
inflation-world,World,OWID_WRL,2010,3.3263447
inflation-world,World,OWID_WRL,2011,4.800636
inflation-world,World,OWID_WRL,2012,3.7253268
inflation-world,World,OWID_WRL,2013,2.6516733
inflation-world,World,OWID_WRL,2014,2.3937159
inflation-world,World,OWID_WRL,2015,1.4370238
inflation-world,World,OWID_WRL,2016,1.5969123
inflation-world,World,OWID_WRL,2017,2.2231433
inflation-world,World,OWID_WRL,2018,2.4425833
inflation-world,World,OWID_WRL,2019,2.206073
inflation-world,World,OWID_WRL,2020,1.9050972
inflation-world,World,OWID_WRL,2021,3.4754033
inflation-world,World,OWID_WRL,2022,8.081695
inflation-world,World,OWID_WRL,2023,5.799441
inflation-world,World,OWID_WRL,2024,3.0144758
inflation-world,World,OWID_WRL,2025,3.0414133
inflation-panel,Brazil,BRA,2000,7.0441413
inflation-panel,Brazil,BRA,2010,5.038727
inflation-panel,Brazil,BRA,2020,3.2117682
inflation-panel,Brazil,BRA,2024,4.367464
inflation-panel,Germany,DEU,2000,1.4402684
inflation-panel,Germany,DEU,2010,1.1038104
inflation-panel,Germany,DEU,2020,0.14487793
inflation-panel,Germany,DEU,2024,2.256498
inflation-panel,India,IND,2000,4.009436
inflation-panel,India,IND,2010,11.98939
inflation-panel,India,IND,2020,6.623437
inflation-panel,India,IND,2024,4.9530354
inflation-panel,Sweden,SWE,2000,0.89914376
inflation-panel,Sweden,SWE,2010,1.1579881
inflation-panel,Sweden,SWE,2020,0.49736732
inflation-panel,Sweden,SWE,2024,2.8358166
inflation-panel,United Kingdom,GBR,2000,1.1829562
inflation-panel,United Kingdom,GBR,2010,2.4926548
inflation-panel,United Kingdom,GBR,2020,0.9894867
inflation-panel,United Kingdom,GBR,2024,3.2715728
inflation-panel,United States,USA,2000,3.3768573
inflation-panel,United States,USA,2010,1.6400435
inflation-panel,United States,USA,2020,1.2335844
inflation-panel,United States,USA,2024,2.949525
renewables-world,World,OWID_WRL,1900,41.22445
renewables-world,World,OWID_WRL,1901,39.497395
renewables-world,World,OWID_WRL,1902,38.168682
renewables-world,World,OWID_WRL,1903,36.22931
renewables-world,World,OWID_WRL,1904,35.18204
renewables-world,World,OWID_WRL,1905,35.08639
renewables-world,World,OWID_WRL,1906,35.998566
renewables-world,World,OWID_WRL,1907,36.741898
renewables-world,World,OWID_WRL,1908,38.570396
renewables-world,World,OWID_WRL,1909,39.166332
renewables-world,World,OWID_WRL,1910,39.934303
renewables-world,World,OWID_WRL,1911,41.48167
renewables-world,World,OWID_WRL,1912,42.326866
renewables-world,World,OWID_WRL,1913,41.474037
renewables-world,World,OWID_WRL,1914,40.83039
renewables-world,World,OWID_WRL,1915,41.675922
renewables-world,World,OWID_WRL,1916,41.98088
renewables-world,World,OWID_WRL,1917,41.687798
renewables-world,World,OWID_WRL,1918,47.124146
renewables-world,World,OWID_WRL,1919,50.956985
renewables-world,World,OWID_WRL,1920,44.535954
renewables-world,World,OWID_WRL,1921,43.921677
renewables-world,World,OWID_WRL,1922,43.609547
renewables-world,World,OWID_WRL,1923,42.119034
renewables-world,World,OWID_WRL,1924,41.700924
renewables-world,World,OWID_WRL,1925,40.424606
renewables-world,World,OWID_WRL,1926,42.12436
renewables-world,World,OWID_WRL,1927,42.42184
renewables-world,World,OWID_WRL,1928,43.40601
renewables-world,World,OWID_WRL,1929,41.878433
renewables-world,World,OWID_WRL,1930,42.26834
renewables-world,World,OWID_WRL,1931,41.560577
renewables-world,World,OWID_WRL,1932,44.419647
renewables-world,World,OWID_WRL,1933,44.018993
renewables-world,World,OWID_WRL,1934,41.960052
renewables-world,World,OWID_WRL,1935,43.17246
renewables-world,World,OWID_WRL,1936,40.811512
renewables-world,World,OWID_WRL,1937,40.985504
renewables-world,World,OWID_WRL,1938,40.342175
renewables-world,World,OWID_WRL,1939,38.355415
renewables-world,World,OWID_WRL,1940,37.65387
