code,iso_numeric,country
AFG,004,Afghanistan
ALA,248,Åland Islands
ALB,008,Albania
DZA,012,Algeria
ASM,016,American Samoa
AND,020,Andorra
AGO,024,Angola
AIA,660,Anguilla
ATA,010,Antarctica
ATG,028,Antigua and Barbuda
ARG,032,Argentina
ARM,051,Armenia
ABW,533,Aruba
AUS,036,Australia
AUT,040,Austria
AZE,031,Azerbaijan
BHS,044,Bahamas
BHR,048,Bahrain
BGD,050,Bangladesh
BRB,052,Barbados
BLR,112,Belarus
BEL,056,Belgium
BLZ,084,Belize
BEN,204,Benin
BMU,060,Bermuda
BTN,064,Bhutan
BOL,068,Bolivia (Plurinational State of)
BES,535,"Bonaire, Sint Eustatius and Saba"
BIH,070,Bosnia and Herzegovina
BWA,072,Botswana
BVT,074,Bouvet Island
BRA,076,Brazil
IOT,086,British Indian Ocean Territory
VGB,092,British Virgin Islands
BRN,096,Brunei Darussalam
BGR,100,Bulgaria
BFA,854,Burkina Faso
BDI,108,Burundi
CPV,132,Cabo Verde
KHM,116,Cambodia
CMR,120,Cameroon
CAN,124,Canada
CYM,136,Cayman Islands
CAF,140,Central African Republic
TCD,148,Chad
CHL,152,Chile
CHN,156,China
HKG,344,"China, Hong Kong Special Administrative Region"
MAC,446,"China, Macao Special Administrative Region"
CXR,162,Christmas Island
CCK,166,Cocos (Keeling) Islands
COL,170,Colombia
COM,174,Comoros
COG,178,Congo
COK,184,Cook Islands
CRI,188,Costa Rica
HRV,191,Croatia
CUB,192,Cuba
CUW,531,Curaçao
CYP,196,Cyprus
CZE,203,Czechia
PRK,408,Democratic People's Republic of Korea
COD,180,Democratic Republic of the Congo
DNK,208,Denmark
DJI,262,Djibouti
DMA,212,Dominica
DOM,214,Dominican Republic
ECU,218,Ecuador
EGY,818,Egypt
SLV,222,El Salvador
GNQ,226,Equatorial Guinea
ERI,232,Eritrea
EST,233,Estonia
SWZ,748,Eswatini
ETH,231,Ethiopia
FLK,238,Falkland Islands
FRO,234,Faroe Islands
FJI,242,Fiji
FIN,246,Finland
FRA,250,France
GUF,254,French Guiana
PYF,258,French Polynesia
ATF,260,French Southern Territories
GAB,266,Gabon
GMB,270,Gambia
GEO,268,Georgia
DEU,276,Germany
GHA,288,Ghana
GIB,292,Gibraltar
GRC,300,Greece
GRL,304,Greenland
GRD,308,Grenada
GLP,312,Guadeloupe
GUM,316,Guam
GTM,320,Guatemala
GGY,831,Guernsey
GIN,324,Guinea
GNB,624,Guinea-Bissau
GUY,328,Guyana
HTI,332,Haiti
HMD,334,Heard Island and McDonald Islands
VAT,336,Holy See
