series,entity,code,year,value
long-run,World,OWID_WRL,1770,28.5
long-run,World,OWID_WRL,1800,28.5
long-run,World,OWID_WRL,1820,29
long-run,World,OWID_WRL,1850,29.3
long-run,World,OWID_WRL,1870,29.7
long-run,World,OWID_WRL,1900,32
long-run,World,OWID_WRL,1913,34.1
long-run,World,OWID_WRL,1950,46.3944
long-run,World,OWID_WRL,1951,47.1259
long-run,World,OWID_WRL,1952,48.2183
long-run,World,OWID_WRL,1953,48.809
long-run,World,OWID_WRL,1954,49.6514
long-run,World,OWID_WRL,1955,50.2055
long-run,World,OWID_WRL,1956,50.7373
long-run,World,OWID_WRL,1957,51.0636
long-run,World,OWID_WRL,1958,51.6151
long-run,World,OWID_WRL,1959,49.5818
long-run,World,OWID_WRL,1960,47.8198
long-run,World,OWID_WRL,1961,50.3459
long-run,World,OWID_WRL,1962,53.2416
long-run,World,OWID_WRL,1963,53.7161
long-run,World,OWID_WRL,1964,54.2603
long-run,World,OWID_WRL,1965,53.9975
long-run,World,OWID_WRL,1966,54.5644
long-run,World,OWID_WRL,1967,55.0678
long-run,World,OWID_WRL,1968,55.6181
long-run,World,OWID_WRL,1969,55.9999
long-run,World,OWID_WRL,1970,56.2664
long-run,World,OWID_WRL,1971,56.0193
long-run,World,OWID_WRL,1972,57.2155
long-run,World,OWID_WRL,1973,57.6923
long-run,World,OWID_WRL,1974,58.0614
long-run,World,OWID_WRL,1975,58.2681
long-run,World,OWID_WRL,1976,58.5754
long-run,World,OWID_WRL,1977,59.1539
long-run,World,OWID_WRL,1978,59.5129
long-run,World,OWID_WRL,1979,60.1571
long-run,World,OWID_WRL,1980,60.502
long-run,World,OWID_WRL,1981,60.9187
long-run,World,OWID_WRL,1982,61.3435
long-run,World,OWID_WRL,1983,61.5211
long-run,World,OWID_WRL,1984,61.8663
long-run,World,OWID_WRL,1985,62.2092
long-run,World,OWID_WRL,1986,62.7297
long-run,World,OWID_WRL,1987,63.1809
long-run,World,OWID_WRL,1988,63.3672
long-run,World,OWID_WRL,1989,63.7817
long-run,World,OWID_WRL,1990,63.955
long-run,World,OWID_WRL,1991,64.0642
long-run,World,OWID_WRL,1992,64.2879
long-run,World,OWID_WRL,1993,64.4334
long-run,World,OWID_WRL,1994,64.2995
long-run,World,OWID_WRL,1995,64.8817
long-run,World,OWID_WRL,1996,65.1995
long-run,World,OWID_WRL,1997,65.5406
long-run,World,OWID_WRL,1998,65.7408
long-run,World,OWID_WRL,1999,66.0412
long-run,World,OWID_WRL,2000,66.4333
long-run,World,OWID_WRL,2001,66.7531
long-run,World,OWID_WRL,2002,67.068
long-run,World,OWID_WRL,2003,67.4015
long-run,World,OWID_WRL,2004,67.7449
long-run,World,OWID_WRL,2005,68.1405
long-run,World,OWID_WRL,2006,68.6137
long-run,World,OWID_WRL,2007,69.0316
long-run,World,OWID_WRL,2008,69.3017
long-run,World,OWID_WRL,2009,69.6812
long-run,World,OWID_WRL,2010,70.089
long-run,World,OWID_WRL,2011,70.4033
long-run,World,OWID_WRL,2012,70.824
long-run,World,OWID_WRL,2013,71.1417
long-run,World,OWID_WRL,2014,71.4038
long-run,World,OWID_WRL,2015,71.606
long-run,World,OWID_WRL,2016,71.8768
long-run,World,OWID_WRL,2017,72.067
long-run,World,OWID_WRL,2018,72.3885
long-run,World,OWID_WRL,2019,72.6093
long-run,World,OWID_WRL,2020,71.9166
long-run,World,OWID_WRL,2021,70.865
long-run,World,OWID_WRL,2022,72.6398
long-run,World,OWID_WRL,2023,73.1694
panel,Sweden,SWE,1950,71.1394
panel,Sweden,SWE,1980,75.7431
panel,Sweden,SWE,2000,79.7387
panel,Sweden,SWE,2023,83.2624
panel,Brazil,BRA,1950,48.5286
panel,Brazil,BRA,1980,61.8195
panel,Brazil,BRA,2000,69.5842
panel,Brazil,BRA,2023,75.8482
panel,India,IND,1950,41.1815
panel,India,IND,1980,53.5928
panel,India,IND,2000,62.7492
panel,India,IND,2023,72.0026
panel,Nigeria,NGA,1950,35.5275
panel,Nigeria,NGA,1980,45.959
panel,Nigeria,NGA,2000,47.1427
panel,Nigeria,NGA,2023,54.4623
panel,United States,USA,1950,68.0669
panel,United States,USA,1980,73.73
panel,United States,USA,2000,76.8058
panel,United States,USA,2023,79.3043
