country,code,iso_numeric,year,rate
Afghanistan,AFG,004,2021,37.27
Albania,ALB,008,2023,97.68
Angola,AGO,024,2023,68.18
Argentina,ARG,032,2020,99.14
Armenia,ARM,051,2023,99.84
Azerbaijan,AZE,031,2023,99.78
Bahrain,BHR,048,2024,97.82
Bangladesh,BGD,050,2022,79
Belarus,BLR,112,2019,99.87
Belize,BLZ,084,2022,87.88
Benin,BEN,204,2022,51.38
Bhutan,BTN,064,2022,64.91
Bolivia,BOL,068,2024,96.73
Brazil,BRA,076,2024,94.74
Burkina Faso,BFA,854,2023,41.57
Burundi,BDI,108,2020,71.34
Cambodia,KHM,116,2021,71.93
Cameroon,CMR,120,2018,72.55
Cape Verde,CPV,132,2024,88.47
Central African Republic,CAF,140,2019,42.44
Chad,TCD,148,2019,30.63
China,CHN,156,2020,96.74
Colombia,COL,170,2024,95.34
Comoros,COM,174,2021,75.62
Cote d'Ivoire,CIV,384,2021,50
Cuba,CUB,192,2019,97.65
Democratic Republic of Congo,COD,180,2023,68.5
Dominican Republic,DOM,214,2024,94.03
East Timor,TLS,626,2022,69.4
Ecuador,ECU,218,2024,93.49
Egypt,EGY,818,2022,79.45
El Salvador,SLV,222,2024,89.77
Eswatini,SWZ,748,2022,90.75
Ethiopia,ETH,231,2022,60.46
Gabon,GAB,266,2021,88.86
Gambia,GMB,270,2021,51.64
Georgia,GEO,268,2024,99.68
Ghana,GHA,288,2021,76.49
Guatemala,GTM,320,2024,82.11
Guinea,GIN,324,2018,39.62
Guinea-Bissau,GNB,624,2022,63.93
Guyana,GUY,328,2020,85.64
Honduras,HND,340,2024,88.25
India,IND,356,2024,78.16
Indonesia,IDN,360,2020,96
Iran,IRN,364,2023,88.92
Iraq,IRQ,368,2021,84.06
Italy,ITA,380,2019,99.35
Jordan,JOR,400,2024,94.44
Kiribati,KIR,296,2020,98.61
Kuwait,KWT,414,2020,96.46
Laos,LAO,418,2023,75.64
Lebanon,LBN,422,2019,92.01
Lesotho,LSO,426,2024,90.45
Madagascar,MDG,450,2021,74.69
Malawi,MWI,454,2020,70.15
Malaysia,MYS,458,2022,95.77
Maldives,MDV,462,2019,98.21
Mali,MLI,466,2024,35.63
Marshall Islands,MHL,584,2021,95.76
Mauritania,MRT,478,2020,59.53
Mauritius,MUS,480,2023,94.29
Mexico,MEX,484,2024,95.55
Mongolia,MNG,496,2024,98.64
Montenegro,MNE,499,2018,98.53
Mozambique,MOZ,508,2022,61.67
Myanmar,MMR,104,2020,93.53
Namibia,NAM,516,2023,87.64
Nauru,NRU,520,2023,96.59
Nepal,NPL,524,2019,68.71
Niger,NER,562,2022,35.61
Nigeria,NGA,566,2024,70.41
Niue,NIU,570,2022,99.07
Oman,OMN,512,2022,97.34
Pakistan,PAK,586,2021,58.86
Palau,PLW,585,2020,99.84
Palestine,PSE,275,2024,97.94
Panama,PAN,591,2024,96.23
Papua New Guinea,PNG,598,2022,87
Paraguay,PRY,600,2024,94.86
Peru,PER,604,2024,93.66
Philippines,PHL,608,2020,98.47
Qatar,QAT,634,2024,99.32
Romania,ROU,642,2021,99.16
Russia,RUS,643,2021,99.93
Rwanda,RWA,646,2022,78.76
Samoa,WSM,882,2019,97.99
San Marino,SMR,674,2022,99.91
Sao Tome and Principe,STP,678,2019,87.44
Saudi Arabia,SAU,682,2024,97.93
Senegal,SEN,686,2023,50.36
Serbia,SRB,688,2022,99.34
Sierra Leone,SLE,694,2019,43.58
Singapore,SGP,702,2021,97.65
Somalia,SOM,706,2022,54.12
South Africa,ZAF,710,2024,91.15
Spain,ESP,724,2021,99.7
Sri Lanka,LKA,144,2024,92.74
Syria,SYR,760,2021,94.42
Tanzania,TZA,834,2022,78.21
Thailand,THA,764,2022,91.1
Togo,TGO,768,2022,72.6
Tokelau,TKL,772,2022,100
Tonga,TON,776,2023,99.48
Tunisia,TUN,788,2023,86.25
Turkey,TUR,792,2021,97.26
Turkmenistan,TKM,795,2022,99.9
Tuvalu,TUV,798,2022,100
Uganda,UGA,800,2024,77.04
United Arab Emirates,ARE,784,2024,98.81
Uruguay,URY,858,2024,98.91
Uzbekistan,UZB,860,2022,100
Vanuatu,VUT,548,2023,87.96
Vietnam,VNM,704,2022,96.13
Wallis and Futuna,WLF,876,2023,99.44
Zambia,ZMB,894,2024,71.77
Zimbabwe,ZWE,716,2019,93.23
