country,code,iso_numeric,year,rate
Argentina,ARG,032,1950,87.5
Argentina,ARG,032,1980,93.91
Argentina,ARG,032,1991,96.04
Argentina,ARG,032,2001,97.19
Argentina,ARG,032,2020,99.14
Brazil,BRA,076,1950,47.5
Brazil,BRA,076,1980,74.59
Brazil,BRA,076,2000,86.37
Brazil,BRA,076,2004,88.62
Brazil,BRA,076,2006,89.62
Brazil,BRA,076,2007,90.01
Brazil,BRA,076,2008,90.04
Brazil,BRA,076,2009,90.3
Brazil,BRA,076,2010,90.38
Brazil,BRA,076,2011,91.41
Brazil,BRA,076,2012,91.34
Brazil,BRA,076,2013,91.48
Brazil,BRA,076,2014,91.73
Brazil,BRA,076,2015,92.05
Brazil,BRA,076,2016,92.81
Brazil,BRA,076,2017,93.08
Brazil,BRA,076,2018,93.23
Brazil,BRA,076,2019,93.89
Brazil,BRA,076,2020,94.74
Brazil,BRA,076,2021,94.77
Brazil,BRA,076,2022,94.38
Brazil,BRA,076,2023,94.57
Brazil,BRA,076,2024,94.74
China,CHN,156,1950,47.5
China,CHN,156,1982,65.51
China,CHN,156,1990,77.79
China,CHN,156,2000,90.92
China,CHN,156,2010,95.12
China,CHN,156,2020,96.74
Egypt,EGY,818,1950,22.5
Egypt,EGY,818,1976,38.2
Egypt,EGY,818,1986,44.42
Egypt,EGY,818,1996,55.59
Egypt,EGY,818,2005,67.33
Egypt,EGY,818,2006,66.37
Egypt,EGY,818,2010,72.05
Egypt,EGY,818,2012,73.87
Egypt,EGY,818,2013,72.44
Egypt,EGY,818,2017,71.17
Egypt,EGY,818,2021,82.08
Egypt,EGY,818,2022,79.45
Ghana,GHA,288,1950,22.5
Ghana,GHA,288,2000,57.9
Ghana,GHA,288,2010,71.5
Ghana,GHA,288,2015,60.2
Ghana,GHA,288,2017,64.49
Ghana,GHA,288,2021,76.49
India,IND,356,1950,17.5
India,IND,356,1981,40.76
India,IND,356,1991,48.22
India,IND,356,2001,61.01
India,IND,356,2006,62.75
India,IND,356,2010,68.33
India,IND,356,2011,69.3
India,IND,356,2012,69.83
India,IND,356,2018,73.69
India,IND,356,2019,74.89
India,IND,356,2020,75.53
India,IND,356,2021,76.06
India,IND,356,2022,76.32
India,IND,356,2023,81.7
India,IND,356,2024,78.16
Indonesia,IDN,360,1950,17.5
Indonesia,IDN,360,1980,67.31
Indonesia,IDN,360,1990,81.52
Indonesia,IDN,360,2004,90.38
Indonesia,IDN,360,2006,91.98
Indonesia,IDN,360,2008,92.19
Indonesia,IDN,360,2009,92.58
Indonesia,IDN,360,2010,92.32
Indonesia,IDN,360,2011,92.81
Indonesia,IDN,360,2014,95.12
Indonesia,IDN,360,2015,95.22
Indonesia,IDN,360,2016,95.38
Indonesia,IDN,360,2018,95.66
Indonesia,IDN,360,2020,96
Mexico,MEX,484,1950,62.5
Mexico,MEX,484,1980,82.99
Mexico,MEX,484,1990,87.56
Mexico,MEX,484,2000,90.54
