series,entity,code,year,value
world,World,OWID_WRL,1980,20
world,World,OWID_WRL,1981,23
world,World,OWID_WRL,1982,25
world,World,OWID_WRL,1983,37
world,World,OWID_WRL,1984,44
world,World,OWID_WRL,1985,48
world,World,OWID_WRL,1986,51
world,World,OWID_WRL,1987,55
world,World,OWID_WRL,1988,63
world,World,OWID_WRL,1989,68
world,World,OWID_WRL,1990,76
world,World,OWID_WRL,1991,71
world,World,OWID_WRL,1992,69
world,World,OWID_WRL,1993,69
world,World,OWID_WRL,1994,72
world,World,OWID_WRL,1995,72
world,World,OWID_WRL,1996,72
world,World,OWID_WRL,1997,71
world,World,OWID_WRL,1998,71
world,World,OWID_WRL,1999,71
world,World,OWID_WRL,2000,72
world,World,OWID_WRL,2001,72
world,World,OWID_WRL,2002,72
world,World,OWID_WRL,2003,74
world,World,OWID_WRL,2004,76
world,World,OWID_WRL,2005,77
world,World,OWID_WRL,2006,78
world,World,OWID_WRL,2007,78
world,World,OWID_WRL,2008,81
world,World,OWID_WRL,2009,83
world,World,OWID_WRL,2010,83
world,World,OWID_WRL,2011,84
world,World,OWID_WRL,2012,84
world,World,OWID_WRL,2013,83
world,World,OWID_WRL,2014,85
world,World,OWID_WRL,2015,85
world,World,OWID_WRL,2016,86
world,World,OWID_WRL,2017,86
world,World,OWID_WRL,2018,86
world,World,OWID_WRL,2019,86
world,World,OWID_WRL,2020,83
world,World,OWID_WRL,2021,82
world,World,OWID_WRL,2022,85
world,World,OWID_WRL,2023,84
world,World,OWID_WRL,2024,85
panel,Sweden,SWE,2000,99
panel,Sweden,SWE,2019,98
panel,Sweden,SWE,2024,96
panel,Brazil,BRA,2000,98
panel,Brazil,BRA,2019,70
panel,Brazil,BRA,2024,91
panel,India,IND,2000,58
panel,India,IND,2019,91
panel,India,IND,2024,94
panel,Nigeria,NGA,2000,29
panel,Nigeria,NGA,2019,66
panel,Nigeria,NGA,2024,67
panel,United States,USA,2000,94
panel,United States,USA,2019,94
panel,United States,USA,2024,94
