year,best_deaths,low_deaths,high_deaths,ongoing_conflicts
1946,296386,51238,474722,11
1947,404784,67207,670181,11
1948,475588,77264,765798,17
1949,446646,73590,745553,19
1950,550676,352168,919791,17
1951,396167,253686,617185,14
1952,149073,91963,236832,14
1953,98934,60899,158938,16
1954,69519,28198,131898,15
1955,31164,21742,82145,13
1956,40580,27370,90996,17
1957,32188,20472,88928,17
1958,48037,22769,103899,18
1959,52460,24892,203098,16
1960,64873,50670,286311,15
1961,77804,56575,321743,20
1962,55938,24500,202767,19
1963,69801,50387,227281,19
1964,63348,46296,263982,24
1965,98568,69004,357463,26
1966,96786,71100,326186,27
1967,126717,92661,393499,32
1968,233327,172772,713401,25
1969,198673,143211,589961,28
1970,208784,156581,607165,25
1971,258085,207357,826935,29
1972,299083,228035,878233,26
1973,222940,171334,618346,25
1974,261646,202658,719301,27
1975,135684,84729,240474,29
1976,106722,25774,166983,31
1977,45550,25944,96763,35
1978,102573,49052,178505,37
1979,157289,62903,255629,40
1980,125492,72308,248887,40
1981,197263,100131,384471,41
1982,234509,99552,458329,43
1983,228286,101526,444351,42
1984,249266,88247,438831,41
1985,228466,83703,397347,37
1986,235400,93448,409293,43
1987,194655,70817,344769,46
1988,152503,64998,504787,38
1989,55667,51133,85681,41
1990,80297,77085,97820,49
1991,70355,68111,91419,53
1992,53410,49968,78170,51
1993,44954,43928,67762,44
1994,38523,37239,58171,50
1995,36755,35696,52212,41
1996,28903,28460,35089,41
1997,40389,37191,62033,39
1998,40238,38147,52246,40
1999,81462,80051,104066,40
2000,78674,76413,91469,40
2001,23623,21247,38799,38
2002,21157,19106,29330,33
2003,23265,22831,33593,33
2004,19716,19210,26777,33
2005,12437,12026,15579,33
2006,20287,19063,28904,33
2007,19381,18392,25488,35
2008,28867,28014,37231,39
2009,36006,32655,44916,37
2010,21652,20599,28584,31
2011,25636,24476,34219,37
2012,74155,71759,85523,33
2013,93495,88947,108348,39
2014,116005,111002,131428,46
2015,104479,100175,120100,54
2016,90764,86126,106083,54
2017,72137,69368,81999,54
2018,55166,52121,64955,52
2019,52676,48642,61722,57
2020,73139,66910,89187,57
2021,199816,194530,225723,54
2022,284981,255298,378706,56
2023,138917,132012,224510,59
2024,155038,131582,195833,59
2025,153643,141393,237201,65
