entity,code,year,value
World,OWID_WRL,1970,45.70395
World,OWID_WRL,1971,45.92105
World,OWID_WRL,1972,46.263157
World,OWID_WRL,1973,47.14145
World,OWID_WRL,1974,47.611843
World,OWID_WRL,1975,48.019737
World,OWID_WRL,1976,48.38158
World,OWID_WRL,1977,48.74671
World,OWID_WRL,1978,49.44079
World,OWID_WRL,1979,49.726974
World,OWID_WRL,1980,50.013157
World,OWID_WRL,1981,50.470394
World,OWID_WRL,1982,50.848682
World,OWID_WRL,1983,51.25329
World,OWID_WRL,1984,51.63487
World,OWID_WRL,1985,51.95395
World,OWID_WRL,1986,52.276318
World,OWID_WRL,1987,52.50329
World,OWID_WRL,1988,53.082237
World,OWID_WRL,1989,53.394737
World,OWID_WRL,1990,54.019737
World,OWID_WRL,1991,54.42763
World,OWID_WRL,1992,54.976974
World,OWID_WRL,1993,55.55592
World,OWID_WRL,1994,56.31908
World,OWID_WRL,1995,57.05592
World,OWID_WRL,1996,57.838818
World,OWID_WRL,1997,58.648026
World,OWID_WRL,1998,59.207237
World,OWID_WRL,1999,59.92763
World,OWID_WRL,2000,60.648026
World,OWID_WRL,2001,61.10855
World,OWID_WRL,2002,61.960526
World,OWID_WRL,2003,62.901318
World,OWID_WRL,2004,63.976974
World,OWID_WRL,2005,65.01316
World,OWID_WRL,2006,65.927635
World,OWID_WRL,2007,66.93092
World,OWID_WRL,2008,67.87171
World,OWID_WRL,2009,68.87829
World,OWID_WRL,2010,69.54276
World,OWID_WRL,2011,70.06579
World,OWID_WRL,2012,70.6546
World,OWID_WRL,2013,71.45066
World,OWID_WRL,2014,71.92434
World,OWID_WRL,2015,72.460526
World,OWID_WRL,2016,73.08224
World,OWID_WRL,2017,73.697365
World,OWID_WRL,2018,74.40131
World,OWID_WRL,2019,75.289474
World,OWID_WRL,2020,75.99342
World,OWID_WRL,2021,76.60855
World,OWID_WRL,2022,77.11842
World,OWID_WRL,2023,77.85526
United States,USA,1970,66.875
United States,USA,1990,81.25
United States,USA,2010,83.75
United States,USA,2023,91.25
Germany,DEU,1970,62.5
Germany,DEU,1990,71.25
Germany,DEU,2010,96.875
Germany,DEU,2023,100
France,FRA,1970,53.75
France,FRA,1990,76.875
France,FRA,2010,97.5
France,FRA,2023,100
United Kingdom,GBR,1970,51.875
United Kingdom,GBR,1990,78.125
United Kingdom,GBR,2010,95
United Kingdom,GBR,2023,97.5
India,IND,1970,49.375
India,IND,1990,52.5
India,IND,2010,66.25
India,IND,2023,74.375
Nigeria,NGA,1970,49.375
Nigeria,NGA,1990,54.375
Nigeria,NGA,2010,56.875
Nigeria,NGA,2023,66.25
Brazil,BRA,1970,31.25
Brazil,BRA,1990,50.625
Brazil,BRA,2010,81.875
Brazil,BRA,2023,85
Saudi Arabia,SAU,1970,23.75
Saudi Arabia,SAU,1990,23.75
Saudi Arabia,SAU,2010,26.25
Saudi Arabia,SAU,2023,71.25
